,applicant_id,week_number,behaviour,score
75,19010083,2,Professional,3
76,19010083,2,Studious,3
77,19010083,2,Imaginative,7
78,19010083,3,Analytic,3
79,19010083,3,Independent,5
80,19010083,3,Determined,3
81,19010083,3,Professional,1
82,19010083,3,Studious,3
83,19010083,3,Imaginative,3
84,19010083,4,Analytic,2
85,19010083,4,Independent,8
86,19010083,4,Determined,1
87,19010083,4,Professional,8
88,19010083,4,Studious,5
89,19010083,4,Imaginative,5
90,19010083,5,Analytic,2
91,19010083,5,Independent,1
92,19010083,5,Determined,8
93,19010083,5,Professional,5
94,19010083,5,Studious,6
95,19010083,5,Imaginative,5
96,19010083,6,Analytic,7
97,19010083,6,Independent,6
98,19010083,6,Determined,5
99,19010083,6,Professional,7
100,19010083,6,Studious,8
101,19010083,6,Imaginative,2
102,19010083,7,Analytic,8
103,19010083,7,Independent,6
104,19010083,7,Determined,8
105,19010083,7,Professional,7
106,19010083,7,Studious,8
107,19010083,7,Imaginative,8
108,19010083,8,Analytic,8
109,19010083,8,Independent,8
110,19010083,8,Determined,7
111,19010083,8,Professional,8
112,19010083,8,Studious,7
113,19010083,8,Imaginative,5
114,19010171,1,Analytic,2
115,19010171,1,Independent,2
116,19010171,1,Determined,4
117,19010171,1,Professional,5
118,19010171,1,Studious,1
119,19010171,1,Imaginative,2
120,19010171,2,Analytic,3
121,19010171,2,Independent,2
122,19010171,2,Determined,5
123,19010171,2,Professional,3
124,19010171,2,Studious,1
125,19010171,2,Imaginative,1
126,19010171,3,Analytic,3
127,19010171,3,Independent,2
128,19010171,3,Determined,3
129,19010171,3,Professional,4
130,19010171,3,Studious,4
131,19010171,3,Imaginative,2
132,19010171,4,Analytic,8
133,19010171,4,Independent,6
134,19010171,4,Determined,8
135,19010171,4,Professional,2
136,19010171,4,Studious,4
137,19010171,4,Imaginative,8
138,19010171,5,Analytic,6
139,19010171,5,Independent,2
140,19010171,5,Determined,8
141,19010171,5,Professional,8
142,19010171,5,Studious,8
143,19010171,5,Imaginative,5
144,19010171,6,Analytic,7
145,19010171,6,Independent,5
146,19010171,6,Determined,5
147,19010171,6,Professional,5
148,19010171,6,Studious,5
149,19010171,6,Imaginative,8
150,19010171,7,Analytic,8
151,19010171,7,Independent,7
152,19010171,7,Determined,7
153,19010171,7,Professional,8
154,19010171,7,Studious,8
155,19010171,7,Imaginative,8
156,19010171,8,Analytic,8
157,19010171,8,Independent,7
158,19010171,8,Determined,8
159,19010171,8,Professional,8
160,19010171,8,Studious,8
161,19010171,8,Imaginative,8
162,19010293,1,Analytic,3
163,19010293,1,Independent,6
164,19010293,1,Determined,1
165,19010293,1,Professional,5
166,19010293,1,Studious,4
167,19010293,1,Imaginative,1
168,19010293,2,Analytic,2
169,19010293,2,Independent,1
170,19010293,2,Determined,2
171,19010293,2,Professional,5
172,19010293,2,Studious,3
173,19010293,2,Imaginative,2
174,19010293,3,Analytic,1
175,19010293,3,Independent,3
176,19010293,3,Determined,2
177,19010293,3,Professional,1
178,19010293,3,Studious,1
179,19010293,3,Imaginative,4
180,19010293,4,Analytic,3
181,19010293,4,Independent,3
182,19010293,4,Determined,7
183,19010293,4,Professional,3
184,19010293,4,Studious,6
185,19010293,4,Imaginative,5
186,19010293,5,Analytic,6
187,19010293,5,Independent,3
188,19010293,5,Determined,4
189,19010293,5,Professional,7
190,19010293,5,Studious,6
191,19010293,5,Imaginative,6
192,19010293,6,Analytic,6
193,19010293,6,Independent,8
194,19010293,6,Determined,8
195,19010293,6,Professional,6
196,19010293,6,Studious,8
197,19010293,6,Imaginative,7
198,19010293,7,Analytic,7
199,19010293,7,Independent,8
200,19010293,7,Determined,6
201,19010293,7,Professional,8
202,19010293,7,Studious,8
203,19010293,7,Imaginative,7
204,19010293,8,Analytic,7
205,19010293,8,Independent,7
206,19010293,8,Determined,8
207,19010293,8,Professional,6
208,19010293,8,Studious,7
209,19010293,8,Imaginative,8
210,19010248,1,Analytic,6
211,19010248,1,Independent,3
212,19010248,1,Determined,1
213,19010248,1,Professional,4
214,19010248,1,Studious,4
215,19010248,1,Imaginative,2
216,19010248,2,Analytic,7
217,19010248,2,Independent,2
218,19010248,2,Determined,3
219,19010248,2,Professional,1
220,19010248,2,Studious,1
221,19010248,2,Imaginative,1
222,19010248,3,Analytic,1
223,19010248,3,Independent,2
224,19010248,3,Determined,2
225,19010248,3,Professional,1
226,19010248,3,Studious,4
227,19010248,3,Imaginative,5
228,19010248,4,Analytic,4
229,19010248,4,Independent,6
230,19010248,4,Determined,6
231,19010248,4,Professional,6
232,19010248,4,Studious,8
233,19010248,4,Imaginative,6
234,19010248,5,Analytic,4
235,19010248,5,Independent,2
236,19010248,5,Determined,7
237,19010248,5,Professional,6
238,19010248,5,Studious,4
239,19010248,5,Imaginative,2
240,19010248,6,Analytic,4
241,19010248,6,Independent,3
242,19010248,6,Determined,8
243,19010248,6,Professional,7
244,19010248,6,Studious,4
245,19010248,6,Imaginative,5
246,19010248,7,Analytic,7
247,19010248,7,Independent,8
248,19010248,7,Determined,8
249,19010248,7,Professional,8
250,19010248,7,Studious,7
251,19010248,7,Imaginative,7
252,19010248,8,Analytic,7
253,19010248,8,Independent,8
254,19010248,8,Determined,8
255,19010248,8,Professional,8
256,19010248,8,Studious,8
257,19010248,8,Imaginative,8
258,19010348,1,Analytic,2
259,19010348,1,Independent,3
260,19010348,1,Determined,3
261,19010348,1,Professional,4
262,19010348,1,Studious,1
263,19010348,1,Imaginative,1
264,19010348,2,Analytic,3
265,19010348,2,Independent,6
266,19010348,2,Determined,2
267,19010348,2,Professional,1
268,19010348,2,Studious,4
269,19010348,2,Imaginative,3
270,19010348,3,Analytic,3
271,19010348,3,Independent,4
272,19010348,3,Determined,1
273,19010348,3,Professional,5
274,19010348,3,Studious,3
275,19010348,3,Imaginative,3
276,19010348,4,Analytic,3
277,19010348,4,Independent,8
278,19010348,4,Determined,1
279,19010348,4,Professional,4
280,19010348,4,Studious,6
281,19010348,4,Imaginative,7
282,19010348,5,Analytic,5
283,19010348,5,Independent,6
284,19010348,5,Determined,7
285,19010348,5,Professional,6
286,19010348,5,Studious,7
287,19010348,5,Imaginative,8
288,19010348,6,Analytic,2
289,19010348,6,Independent,8
290,19010348,6,Determined,8
291,19010348,6,Professional,4
292,19010348,6,Studious,5
293,19010348,6,Imaginative,3
294,19010348,7,Analytic,8
295,19010348,7,Independent,8
296,19010348,7,Determined,8
297,19010348,7,Professional,4
298,19010348,7,Studious,8
299,19010348,7,Imaginative,8
300,19010348,8,Analytic,8
301,19010348,8,Independent,8
302,19010348,8,Determined,7
303,19010348,8,Professional,8
304,19010348,8,Studious,7
305,19010348,8,Imaginative,8
306,19020283,1,Analytic,5
307,19020283,1,Independent,4
308,19020283,1,Determined,1
309,19020283,1,Professional,2
310,19020283,1,Studious,3
311,19020283,1,Imaginative,3
312,19020283,2,Analytic,7
313,19020283,2,Independent,6
314,19020283,2,Determined,3
315,19020283,2,Professional,3
316,19020283,2,Studious,4
317,19020283,2,Imaginative,3
318,19020283,3,Analytic,4
319,19020283,3,Independent,6
320,19020283,3,Determined,3
321,19020283,3,Professional,1
322,19020283,3,Studious,3
323,19020283,3,Imaginative,2
324,19020283,4,Analytic,3
325,19020283,4,Independent,7
326,19020283,4,Determined,4
327,19020283,4,Professional,7
328,19020283,4,Studious,5
329,19020283,4,Imaginative,7
330,19020283,5,Analytic,8
331,19020283,5,Independent,8
332,19020283,5,Determined,7
333,19020283,5,Professional,3
334,19020283,5,Studious,3
335,19020283,5,Imaginative,3
336,19020283,6,Analytic,7
337,19020283,6,Independent,8
338,19020283,6,Determined,5
339,19020283,6,Professional,4
340,19020283,6,Studious,5
341,19020283,6,Imaginative,1
342,19020283,7,Analytic,8
343,19020283,7,Independent,8
344,19020283,7,Determined,8
345,19020283,7,Professional,8
346,19020283,7,Studious,3
347,19020283,7,Imaginative,8
348,19020283,8,Analytic,7
349,19020283,8,Independent,8
350,19020283,8,Determined,8
351,19020283,8,Professional,8
352,19020283,8,Studious,8
353,19020283,8,Imaginative,8
354,19020147,1,Analytic,5
355,19020147,1,Independent,3
356,19020147,1,Determined,2
357,19020147,1,Professional,3
358,19020147,1,Studious,3
359,19020147,1,Imaginative,1
360,19020147,2,Analytic,4
361,19020147,2,Independent,2
362,19020147,2,Determined,1
363,19020147,2,Professional,1
364,19020147,2,Studious,5
365,19020147,2,Imaginative,3
366,19020147,3,Analytic,4
367,19020147,3,Independent,6
368,19020147,3,Determined,2
369,19020147,3,Professional,4
370,19020147,3,Studious,5
371,19020147,3,Imaginative,2
372,19020147,4,Analytic,5
373,19020147,4,Independent,4
374,19020147,4,Determined,2
375,19020147,4,Professional,3
376,19020147,4,Studious,7
377,19020147,4,Imaginative,8
378,19020147,5,Analytic,8
379,19020147,5,Independent,8
380,19020147,5,Determined,7
381,19020147,5,Professional,8
382,19020147,5,Studious,4
383,19020147,5,Imaginative,8
384,19020147,6,Analytic,5
385,19020147,6,Independent,8
386,19020147,6,Determined,6
387,19020147,6,Professional,4
388,19020147,6,Studious,6
389,19020147,6,Imaginative,8
390,19020147,7,Analytic,7
391,19020147,7,Independent,8
392,19020147,7,Determined,8
393,19020147,7,Professional,8
394,19020147,7,Studious,6
395,19020147,7,Imaginative,8
396,19020147,8,Analytic,4
397,19020147,8,Independent,7
398,19020147,8,Determined,8
399,19020147,8,Professional,8
400,19020147,8,Studious,8
401,19020147,8,Imaginative,8
402,19020015,1,Analytic,4
403,19020015,1,Independent,1
404,19020015,1,Determined,5
405,19020015,1,Professional,2
406,19020015,1,Studious,2
407,19020015,1,Imaginative,3
408,19020015,2,Analytic,2
409,19020015,2,Independent,4
410,19020015,2,Determined,2
411,19020015,2,Professional,6
412,19020015,2,Studious,5
413,19020015,2,Imaginative,3
414,19020015,3,Analytic,3
415,19020015,3,Independent,1
416,19020015,3,Determined,1
417,19020015,3,Professional,2
418,19020015,3,Studious,2
419,19020015,3,Imaginative,3
420,19020015,4,Analytic,8
421,19020015,4,Independent,8
422,19020015,4,Determined,7
423,19020015,4,Professional,8
424,19020015,4,Studious,3
425,19020015,4,Imaginative,5
426,19020015,5,Analytic,5
427,19020015,5,Independent,4
428,19020015,5,Determined,8
429,19020015,5,Professional,8
430,19020015,5,Studious,8
431,19020015,5,Imaginative,7
432,19020015,6,Analytic,8
433,19020015,6,Independent,8
434,19020015,6,Determined,8
435,19020015,6,Professional,4
436,19020015,6,Studious,4
437,19020015,6,Imaginative,4
438,19020015,7,Analytic,8
439,19020015,7,Independent,7
440,19020015,7,Determined,8
441,19020015,7,Professional,8
442,19020015,7,Studious,8
443,19020015,7,Imaginative,8
444,19020015,8,Analytic,8
445,19020015,8,Independent,6
446,19020015,8,Determined,8
447,19020015,8,Professional,5
448,19020015,8,Studious,5
449,19020015,8,Imaginative,5
450,19020118,1,Analytic,3
451,19020118,1,Independent,2
452,19020118,1,Determined,3
453,19020118,1,Professional,4
454,19020118,1,Studious,3
455,19020118,1,Imaginative,3
456,19020118,2,Analytic,2
457,19020118,2,Independent,4
458,19020118,2,Determined,2
459,19020118,2,Professional,4
460,19020118,2,Studious,1
461,19020118,2,Imaginative,1
462,19020118,3,Analytic,2
463,19020118,3,Independent,3
464,19020118,3,Determined,4
465,19020118,3,Professional,3
466,19020118,3,Studious,3
467,19020118,3,Imaginative,3
468,19020118,4,Analytic,3
469,19020118,4,Independent,5
470,19020118,4,Determined,4
471,19020118,4,Professional,6
472,19020118,4,Studious,5
473,19020118,4,Imaginative,4
474,19020118,5,Analytic,6
475,19020118,5,Independent,6
476,19020118,5,Determined,4
477,19020118,5,Professional,8
478,19020118,5,Studious,7
479,19020118,5,Imaginative,7
480,19020118,6,Analytic,7
481,19020118,6,Independent,6
482,19020118,6,Determined,8
483,19020118,6,Professional,4
484,19020118,6,Studious,7
485,19020118,6,Imaginative,3
486,19020118,7,Analytic,8
487,19020118,7,Independent,5
488,19020118,7,Determined,7
489,19020118,7,Professional,8
490,19020118,7,Studious,8
491,19020118,7,Imaginative,8
492,19020118,8,Analytic,8
493,19020118,8,Independent,8
494,19020118,8,Determined,4
495,19020118,8,Professional,7
496,19020118,8,Studious,8
497,19020118,8,Imaginative,7
498,19020341,1,Analytic,1
499,19020341,1,Independent,3
500,19020341,1,Determined,2
501,19020341,1,Professional,2
502,19020341,1,Studious,3
503,19020341,1,Imaginative,3
504,19020341,2,Analytic,4
505,19020341,2,Independent,2
506,19020341,2,Determined,2
507,19020341,2,Professional,4
508,19020341,2,Studious,3
509,19020341,2,Imaginative,2
510,19020341,3,Analytic,4
511,19020341,3,Independent,2
512,19020341,3,Determined,1
513,19020341,3,Professional,1
514,19020341,3,Studious,2
515,19020341,3,Imaginative,1
516,19020337,1,Analytic,3
517,19020337,1,Independent,4
518,19020337,1,Determined,4
519,19020337,1,Professional,1
520,19020337,1,Studious,1
521,19020337,1,Imaginative,5
522,19020337,2,Analytic,3
523,19020337,2,Independent,2
524,19020337,2,Determined,1
525,19020337,2,Professional,3
526,19020337,2,Studious,3
527,19020337,2,Imaginative,3
528,19020337,3,Analytic,4
529,19020337,3,Independent,2
530,19020337,3,Determined,2
531,19020337,3,Professional,2
532,19020337,3,Studious,2
533,19020337,3,Imaginative,4
534,19020337,4,Analytic,5
535,19020337,4,Independent,8
536,19020337,4,Determined,6
537,19020337,4,Professional,8
538,19020337,4,Studious,5
539,19020337,4,Imaginative,4
540,19020337,5,Analytic,4
541,19020337,5,Independent,5
542,19020337,5,Determined,7
543,19020337,5,Professional,8
544,19020337,5,Studious,3
545,19020337,5,Imaginative,6
546,19020337,6,Analytic,8
547,19020337,6,Independent,5
548,19020337,6,Determined,5
549,19020337,6,Professional,8
550,19020337,6,Studious,7
551,19020337,6,Imaginative,8
552,19020337,7,Analytic,7
553,19020337,7,Independent,6
554,19020337,7,Determined,8
555,19020337,7,Professional,8
556,19020337,7,Studious,7
557,19020337,7,Imaginative,7
558,19020337,8,Analytic,8
559,19020337,8,Independent,8
560,19020337,8,Determined,7
561,19020337,8,Professional,4
562,19020337,8,Studious,6
563,19020337,8,Imaginative,8
564,19020095,1,Analytic,5
565,19020095,1,Independent,4
566,19020095,1,Determined,3
567,19020095,1,Professional,5
568,19020095,1,Studious,5
569,19020095,1,Imaginative,4
570,19020095,2,Analytic,4
571,19020095,2,Independent,4
572,19020095,2,Determined,3
573,19020095,2,Professional,1
574,19020095,2,Studious,3
575,19020095,2,Imaginative,2
576,19020095,3,Analytic,2
577,19020095,3,Independent,1
578,19020095,3,Determined,1
579,19020095,3,Professional,3
580,19020095,3,Studious,3
581,19020095,3,Imaginative,3
582,19020095,4,Analytic,6
583,19020095,4,Independent,6
584,19020095,4,Determined,4
585,19020095,4,Professional,6
586,19020095,4,Studious,8
587,19020095,4,Imaginative,7
588,19020095,5,Analytic,8
589,19020095,5,Independent,6
590,19020095,5,Determined,5
591,19020095,5,Professional,3
592,19020095,5,Studious,8
593,19020095,5,Imaginative,7
594,19020095,6,Analytic,8
595,19020095,6,Independent,6
596,19020095,6,Determined,5
597,19020095,6,Professional,5
598,19020095,6,Studious,3
599,19020095,6,Imaginative,5
600,19020095,7,Analytic,8
601,19020095,7,Independent,6
602,19020095,7,Determined,8
603,19020095,7,Professional,4
604,19020095,7,Studious,8
605,19020095,7,Imaginative,8
606,19020095,8,Analytic,8
607,19020095,8,Independent,8
608,19020095,8,Determined,8
609,19020095,8,Professional,8
610,19020095,8,Studious,8
611,19020095,8,Imaginative,7
612,19020135,1,Analytic,1
613,19020135,1,Independent,1
614,19020135,1,Determined,1
615,19020135,1,Professional,6
616,19020135,1,Studious,5
617,19020135,1,Imaginative,5
618,19020135,2,Analytic,7
619,19020135,2,Independent,2
620,19020135,2,Determined,1
621,19020135,2,Professional,3
622,19020135,2,Studious,2
623,19020135,2,Imaginative,1
624,19020135,3,Analytic,1
625,19020135,3,Independent,2
626,19020135,3,Determined,3
627,19020135,3,Professional,3
628,19020135,3,Studious,3
629,19020135,3,Imaginative,5
630,19020135,4,Analytic,8
631,19020135,4,Independent,6
632,19020135,4,Determined,4
633,19020135,4,Professional,4
634,19020135,4,Studious,5
635,19020135,4,Imaginative,7
636,19020135,5,Analytic,8
637,19020135,5,Independent,4
638,19020135,5,Determined,3
639,19020135,5,Professional,4
640,19020135,5,Studious,6
641,19020135,5,Imaginative,4
642,19020135,6,Analytic,8
643,19020135,6,Independent,8
644,19020135,6,Determined,3
645,19020135,6,Professional,3
646,19020135,6,Studious,4
647,19020135,6,Imaginative,6
648,19020135,7,Analytic,4
649,19020135,7,Independent,6
650,19020135,7,Determined,8
651,19020135,7,Professional,8
652,19020135,7,Studious,8
653,19020135,7,Imaginative,8
654,19020135,8,Analytic,8
655,19020135,8,Independent,7
656,19020135,8,Determined,8
657,19020135,8,Professional,8
658,19020135,8,Studious,8
659,19020135,8,Imaginative,6
660,19020308,1,Analytic,3
661,19020308,1,Independent,3
662,19020308,1,Determined,7
663,19020308,1,Professional,1
664,19020308,1,Studious,6
665,19020308,1,Imaginative,4
666,19020308,2,Analytic,3
667,19020308,2,Independent,4
668,19020308,2,Determined,4
669,19020308,2,Professional,1
670,19020308,2,Studious,3
671,19020308,2,Imaginative,2
672,19020308,3,Analytic,3
673,19020308,3,Independent,2
674,19020308,3,Determined,2
675,19020308,3,Professional,1
676,19020308,3,Studious,2
677,19020308,3,Imaginative,2
678,19020308,4,Analytic,2
679,19020308,4,Independent,4
680,19020308,4,Determined,3
681,19020308,4,Professional,6
682,19020308,4,Studious,8
683,19020308,4,Imaginative,8
684,19020308,5,Analytic,4
685,19020308,5,Independent,6
686,19020308,5,Determined,4
687,19020308,5,Professional,5
688,19020308,5,Studious,3
689,19020308,5,Imaginative,7
690,19020308,6,Analytic,8
691,19020308,6,Independent,3
692,19020308,6,Determined,7
693,19020308,6,Professional,7
694,19020308,6,Studious,3
695,19020308,6,Imaginative,8
696,19020308,7,Analytic,8
697,19020308,7,Independent,8
698,19020308,7,Determined,2
699,19020308,7,Professional,6
700,19020308,7,Studious,8
701,19020308,7,Imaginative,5
702,19020308,8,Analytic,8
703,19020308,8,Independent,8
704,19020308,8,Determined,8
705,19020308,8,Professional,8
706,19020308,8,Studious,8
707,19020308,8,Imaginative,8
708,19020255,1,Analytic,7
709,19020255,1,Independent,2
710,19020255,1,Determined,6
711,19020255,1,Professional,5
712,19020255,1,Studious,5
713,19020255,1,Imaginative,1
714,19020255,2,Analytic,2
715,19020255,2,Independent,6
716,19020255,2,Determined,2
717,19020255,2,Professional,1
718,19020255,2,Studious,1
719,19020255,2,Imaginative,5
720,19020255,3,Analytic,1
721,19020255,3,Independent,5
722,19020255,3,Determined,5
723,19020255,3,Professional,2
724,19020255,3,Studious,5
725,19020255,3,Imaginative,5
726,19020255,4,Analytic,1
727,19020255,4,Independent,7
728,19020255,4,Determined,8
729,19020255,4,Professional,8
730,19020255,4,Studious,5
731,19020255,4,Imaginative,5
732,19020255,5,Analytic,8
733,19020255,5,Independent,5
734,19020255,5,Determined,5
735,19020255,5,Professional,6
736,19020255,5,Studious,4
737,19020255,5,Imaginative,4
738,19020255,6,Analytic,8
739,19020255,6,Independent,2
740,19020255,6,Determined,8
741,19020255,6,Professional,4
742,19020255,6,Studious,6
743,19020255,6,Imaginative,6
744,19020255,7,Analytic,8
745,19020255,7,Independent,8
746,19020255,7,Determined,8
747,19020255,7,Professional,5
748,19020255,7,Studious,8
749,19020255,7,Imaginative,8
750,19020255,8,Analytic,8
751,19020255,8,Independent,8
752,19020255,8,Determined,8
753,19020255,8,Professional,8
754,19020255,8,Studious,7
755,19020255,8,Imaginative,5
756,19020340,1,Analytic,6
757,19020340,1,Independent,1
758,19020340,1,Determined,4
759,19020340,1,Professional,4
760,19020340,1,Studious,2
761,19020340,1,Imaginative,1
762,19020340,2,Analytic,7
763,19020340,2,Independent,1
764,19020340,2,Determined,6
765,19020340,2,Professional,3
766,19020340,2,Studious,4
767,19020340,2,Imaginative,3
768,19020340,3,Analytic,2
769,19020340,3,Independent,3
770,19020340,3,Determined,3
771,19020340,3,Professional,1
772,19020340,3,Studious,3
773,19020340,3,Imaginative,3
774,19020340,4,Analytic,7
775,19020340,4,Independent,6
776,19020340,4,Determined,8
777,19020340,4,Professional,8
778,19020340,4,Studious,7
779,19020340,4,Imaginative,8
780,19020340,5,Analytic,8
781,19020340,5,Independent,6
782,19020340,5,Determined,6
783,19020340,5,Professional,8
784,19020340,5,Studious,5
785,19020340,5,Imaginative,3
786,19020340,6,Analytic,6
787,19020340,6,Independent,7
788,19020340,6,Determined,2
789,19020340,6,Professional,4
790,19020340,6,Studious,2
791,19020340,6,Imaginative,7
792,19020340,7,Analytic,8
793,19020340,7,Independent,8
794,19020340,7,Determined,8
795,19020340,7,Professional,7
796,19020340,7,Studious,8
797,19020340,7,Imaginative,8
798,19020340,8,Analytic,8
799,19020340,8,Independent,8
800,19020340,8,Determined,8
801,19020340,8,Professional,8
802,19020340,8,Studious,5
803,19020340,8,Imaginative,8
804,19030207,1,Analytic,2
805,19030207,1,Independent,1
806,19030207,1,Determined,3
807,19030207,1,Professional,1
808,19030207,1,Studious,2
809,19030207,1,Imaginative,5
810,19030207,2,Analytic,3
811,19030207,2,Independent,1
812,19030207,2,Determined,1
813,19030207,2,Professional,2
814,19030207,2,Studious,2
815,19030207,2,Imaginative,2
816,19030187,1,Analytic,1
817,19030187,1,Independent,5
818,19030187,1,Determined,2
819,19030187,1,Professional,1
820,19030187,1,Studious,5
821,19030187,1,Imaginative,1
822,19030187,2,Analytic,2
823,19030187,2,Independent,3
824,19030187,2,Determined,2
825,19030187,2,Professional,6
826,19030187,2,Studious,1
827,19030187,2,Imaginative,1
828,19030187,3,Analytic,2
829,19030187,3,Independent,1
830,19030187,3,Determined,5
831,19030187,3,Professional,7
832,19030187,3,Studious,4
833,19030187,3,Imaginative,1
834,19030187,4,Analytic,8
835,19030187,4,Independent,7
836,19030187,4,Determined,7
837,19030187,4,Professional,8
838,19030187,4,Studious,8
839,19030187,4,Imaginative,7
840,19030187,5,Analytic,5
841,19030187,5,Independent,5
842,19030187,5,Determined,6
843,19030187,5,Professional,7
844,19030187,5,Studious,8
845,19030187,5,Imaginative,5
846,19030187,6,Analytic,7
847,19030187,6,Independent,3
848,19030187,6,Determined,5
849,19030187,6,Professional,3
850,19030187,6,Studious,7
851,19030187,6,Imaginative,8
852,19030187,7,Analytic,4
853,19030187,7,Independent,7
854,19030187,7,Determined,4
855,19030187,7,Professional,8
856,19030187,7,Studious,8
857,19030187,7,Imaginative,7
858,19030187,8,Analytic,6
859,19030187,8,Independent,6
860,19030187,8,Determined,8
861,19030187,8,Professional,8
862,19030187,8,Studious,7
863,19030187,8,Imaginative,8
864,19030093,1,Analytic,2
865,19030093,1,Independent,4
866,19030093,1,Determined,1
867,19030093,1,Professional,2
868,19030093,1,Studious,3
869,19030093,1,Imaginative,4
870,19030093,2,Analytic,2
871,19030093,2,Independent,2
872,19030093,2,Determined,2
873,19030093,2,Professional,3
874,19030093,2,Studious,8
875,19030093,2,Imaginative,6
876,19030093,3,Analytic,4
877,19030093,3,Independent,3
878,19030093,3,Determined,2
879,19030093,3,Professional,6
880,19030093,3,Studious,3
881,19030093,3,Imaginative,4
882,19030093,4,Analytic,4
883,19030093,4,Independent,5
884,19030093,4,Determined,6
885,19030093,4,Professional,6
886,19030093,4,Studious,6
887,19030093,4,Imaginative,6
888,19030093,5,Analytic,6
889,19030093,5,Independent,8
890,19030093,5,Determined,6
891,19030093,5,Professional,6
892,19030093,5,Studious,5
893,19030093,5,Imaginative,5
894,19030093,6,Analytic,5
895,19030093,6,Independent,8
896,19030093,6,Determined,8
897,19030093,6,Professional,4
898,19030093,6,Studious,8
899,19030093,6,Imaginative,6
900,19030093,7,Analytic,8
901,19030093,7,Independent,7
902,19030093,7,Determined,8
903,19030093,7,Professional,8
904,19030093,7,Studious,8
905,19030093,7,Imaginative,8
906,19030093,8,Analytic,8
907,19030093,8,Independent,8
908,19030093,8,Determined,8
909,19030093,8,Professional,6
910,19030093,8,Studious,7
911,19030093,8,Imaginative,6
912,19030047,1,Analytic,2
913,19030047,1,Independent,4
914,19030047,1,Determined,1
915,19030047,1,Professional,3
916,19030047,1,Studious,3
917,19030047,1,Imaginative,3
918,19030047,2,Analytic,5
919,19030047,2,Independent,5
920,19030047,2,Determined,2
921,19030047,2,Professional,3
922,19030047,2,Studious,1
923,19030047,2,Imaginative,4
924,19030047,3,Analytic,3
925,19030047,3,Independent,1
926,19030047,3,Determined,7
927,19030047,3,Professional,1
928,19030047,3,Studious,1
929,19030047,3,Imaginative,3
930,19030047,4,Analytic,5
931,19030047,4,Independent,3
932,19030047,4,Determined,8
933,19030047,4,Professional,6
934,19030047,4,Studious,8
935,19030047,4,Imaginative,8
936,19030047,5,Analytic,5
937,19030047,5,Independent,7
938,19030047,5,Determined,3
939,19030047,5,Professional,5
940,19030047,5,Studious,5
941,19030047,5,Imaginative,1
942,19030047,6,Analytic,7
943,19030047,6,Independent,3
944,19030047,6,Determined,6
945,19030047,6,Professional,1
946,19030047,6,Studious,6
947,19030047,6,Imaginative,2
948,19030047,7,Analytic,6
949,19030047,7,Independent,7
950,19030047,7,Determined,8
951,19030047,7,Professional,8
952,19030047,7,Studious,8
953,19030047,7,Imaginative,8
954,19030047,8,Analytic,8
955,19030047,8,Independent,8
956,19030047,8,Determined,8
957,19030047,8,Professional,6
958,19030047,8,Studious,6
959,19030047,8,Imaginative,8
960,19030293,1,Analytic,6
961,19030293,1,Independent,3
962,19030293,1,Determined,2
