,applicant_id,language_name,score
284,19080131,5,3
285,19080131,3,2
286,19080132,1,3
287,19080132,6,2
288,19080132,2,2
289,19080132,7,4
290,19080132,8,7
291,19080132,5,1
292,19080134,1,6
293,19080134,2,4
294,19080134,5,3
295,19080134,3,3
296,19080136,0,2
297,19080136,6,4
298,19080136,7,3
299,19080136,5,1
300,19080136,3,5
301,19080138,0,1
302,19080138,6,2
303,19080138,2,6
304,19080138,8,1
305,19080138,5,5
306,19080138,3,3
307,19080139,4,6
308,19080139,7,3
309,19080140,4,2
310,19080140,6,4
311,19080141,4,1
312,19080141,1,1
313,19080141,7,2
314,19080141,5,4
315,19080141,3,1
316,19080142,0,1
317,19080142,6,5
318,19080142,7,2
319,19080142,8,1
320,19080142,3,2
321,19080143,5,6
322,19080144,7,3
323,19080144,8,2
324,19080145,4,2
325,19080145,0,2
326,19080145,1,3
327,19080145,7,2
328,19080145,3,3
329,19080148,0,2
330,19080148,1,2
331,19080148,8,2
332,19080148,3,4
333,19080149,4,2
334,19080149,0,3
335,19080149,7,6
336,19080151,6,3
337,19080151,8,2
338,19080152,0,3
339,19080152,1,4
340,19080152,2,4
341,19080153,6,6
342,19080153,2,3
343,19080153,7,4
344,19080154,0,1
345,19080154,1,2
346,19080154,2,2
347,19080156,4,1
348,19080156,0,4
349,19080158,6,3
350,19080158,3,1
351,19080159,4,3
352,19080159,0,3
353,19080159,6,2
354,19080159,2,7
355,19080159,7,1
356,19080159,8,2
357,19080159,3,1
358,19080162,4,4
359,19080162,6,3
360,19080162,2,1
361,19080165,1,4
362,19080165,2,3
363,19080165,7,3
364,19080165,8,3
365,19080167,4,7
366,19080167,2,1
367,19080168,1,1
368,19080168,2,1
369,19080169,3,1
370,19080170,1,3
371,19080170,6,4
372,19080170,8,1
373,19080170,3,4
374,19080171,0,1
375,19080171,6,3
376,19080171,3,3
377,19080173,0,1
378,19080173,6,2
379,19080173,2,4
380,19080173,7,4
381,19080173,8,1
382,19080173,5,3
383,19080174,1,1
384,19080174,7,3
385,19080174,3,1
386,19080175,1,7
387,19080175,2,5
388,19080175,7,7
389,19080175,8,1
390,19080175,5,4
391,19080179,4,6
392,19080179,1,3
393,19080179,5,3
394,19080180,1,1
395,19080180,5,4
396,19080181,6,4
397,19080181,2,6
398,19080181,7,6
399,19080182,1,3
400,19080182,2,3
401,19080182,8,1
402,19080184,4,4
403,19080184,0,5
404,19080184,1,5
405,19080184,6,4
406,19080184,7,3
407,19080184,5,2
408,19080187,4,2
409,19080187,0,5
410,19080187,3,5
411,19080191,4,1
412,19080191,0,2
413,19080191,6,4
414,19080191,2,1
415,19080192,4,5
416,19080192,0,2
417,19080192,1,2
418,19080192,5,1
419,19080193,1,1
420,19080193,7,1
421,19080193,5,1
422,19080194,2,4
423,19080194,5,2
424,19080195,1,2
425,19080195,5,4
426,19080195,3,3
427,19080196,1,3
428,19080196,6,3
429,19080196,5,1
430,19080197,0,5
431,19080197,6,1
432,19080197,2,2
433,19080197,5,2
434,19080198,1,2
435,19080198,2,2
436,19080199,4,1
437,19080199,6,1
438,19080200,1,2
439,19080200,2,1
440,19080200,7,2
441,19080200,8,1
442,19080201,1,3
443,19080201,2,4
444,19080201,7,5
445,19080201,8,3
446,19080201,5,1
447,19080202,0,4
448,19080202,6,2
449,19080202,2,1
450,19080202,7,3
451,19080202,8,2
452,19080202,3,3
453,19080203,0,2
454,19080203,1,1
455,19080203,2,1
456,19080206,1,1
457,19080206,8,2
458,19080207,4,1
459,19080207,2,1
460,19080207,3,4
461,19080209,5,5
462,19080210,0,2
463,19080210,7,5
464,19080210,8,3
465,19080210,5,8
466,19080211,4,1
467,19080211,0,5
468,19080211,1,1
469,19080211,5,2
470,19080212,6,2
471,19080212,8,3
472,19080212,5,4
473,19080212,3,4
474,19080213,6,7
475,19080213,2,5
476,19080213,7,4
477,19080213,3,3
478,19080214,1,1
479,19080214,3,2
480,19080215,4,1
481,19080215,0,2
482,19080215,3,4
483,19080216,4,5
484,19080216,2,5
485,19080217,4,6
486,19080217,1,2
487,19080217,4,6
488,19080217,1,2
489,19080218,1,1
490,19080218,2,2
491,19080218,7,7
492,19080218,8,2
493,19080220,7,7
494,19080220,5,2
495,19080220,3,5
496,19080221,7,3
497,19080221,5,1
498,19080222,4,5
499,19080223,4,1
500,19080223,1,3
501,19080223,6,2
502,19080223,2,2
503,19080223,7,5
504,19080224,4,5
505,19080224,0,2
506,19080224,7,2
507,19080225,4,2
508,19080225,0,1
509,19080225,6,2
510,19080225,7,5
511,19080225,3,2
512,19080226,1,5
513,19080226,6,2
514,19080226,7,4
515,19080226,8,1
516,19080227,4,1
517,19080227,1,2
518,19080227,2,7
519,19080227,7,2
520,19080228,3,2
521,19080229,4,3
522,19080229,8,1
523,19080231,1,5
524,19080231,7,1
525,19080233,4,3
526,19080234,2,3
527,19080234,8,4
528,19080235,1,7
529,19080235,6,3
530,19080235,8,4
531,19080235,5,3
532,19080236,4,5
533,19080236,2,1
534,19080236,7,2
535,19080236,8,1
536,19080236,5,3
537,19080236,3,2
538,19080238,0,2
539,19080238,2,3
540,19080242,0,5
541,19080242,1,4
542,19080242,6,3
543,19080242,5,3
544,19080242,3,2
545,19080244,4,6
546,19080244,5,3
547,19080245,2,1
548,19080246,0,1
549,19080246,6,2
550,19080246,7,2
551,19080246,5,2
552,19080246,3,1
553,19080247,4,3
554,19080247,7,3
555,19080248,4,2
556,19080248,1,1
557,19080248,6,3
558,19080248,2,8
559,19080248,7,3
560,19080248,3,1
561,19080249,0,2
562,19080249,7,2
563,19080250,3,4
564,19080251,0,4
565,19080251,3,5
566,19080252,0,5
567,19080252,1,2
568,19080252,2,1
569,19080252,8,4
570,19080252,5,4
571,19080252,3,1
572,19080253,1,5
573,19080254,0,4
574,19080254,6,5
575,19080254,7,1
576,19080254,5,1
577,19080255,0,3
578,19080256,0,2
579,19080256,1,3
580,19080256,6,3
581,19080256,2,5
582,19080256,5,3
583,19080257,1,5
584,19080257,8,2
585,19080257,3,1
586,19080258,4,6
587,19080258,6,1
588,19080258,2,7
589,19080258,5,4
590,19080258,3,1
591,19080259,4,4
592,19080259,0,4
593,19080259,8,3
594,19080259,3,3
595,19080260,1,5
596,19080260,7,5
597,19080261,4,1
598,19080261,0,1
599,19080261,1,4
600,19080261,8,1
601,19080263,0,2
602,19080263,2,5
603,19080263,3,5
604,19080264,4,2
605,19080264,1,1
606,19080264,6,2
607,19080264,2,2
608,19080264,5,3
609,19080264,3,2
610,19080266,0,1
611,19080266,7,1
612,19080266,5,4
613,19080266,3,3
614,19080267,1,1
615,19080267,8,3
616,19080270,4,4
617,19080270,1,5
618,19080270,7,3
619,19080272,0,1
620,19080272,6,3
621,19080272,2,2
622,19080272,7,2
623,19080272,8,2
624,19080272,5,3
625,19080276,1,1
626,19080276,5,3
627,19080276,3,1
628,19080277,1,2
629,19080277,7,1
630,19080278,4,4
631,19080278,0,1
632,19080278,1,2
633,19080278,6,1
634,19080278,7,6
635,19080278,3,3
636,19080279,0,1
637,19080279,1,3
638,19080279,2,1
639,19080279,8,2
640,19080279,5,4
641,19080281,4,4
642,19080281,0,2
643,19080281,8,3
644,19080283,4,3
645,19080283,0,5
646,19080283,1,5
647,19080283,5,4
648,19080287,1,6
649,19080287,3,4
650,19080289,4,1
651,19080289,1,3
652,19080289,7,3
653,19080291,4,3
654,19080291,0,4
655,19080291,1,2
656,19080291,6,2
657,19080291,2,2
658,19080291,3,3
659,19080292,0,2
660,19080292,6,4
661,19080292,3,4
662,19080293,0,1
663,19080293,1,1
664,19080293,3,3
665,19080294,4,6
666,19080294,0,1
667,19080294,1,1
668,19080294,3,6
669,19080295,4,2
670,19080295,2,1
671,19080295,7,4
672,19080295,8,3
673,19080296,1,4
674,19080296,6,1
675,19080296,2,2
676,19080296,1,4
677,19080296,6,1
678,19080296,2,2
679,19080297,2,3
680,19080297,8,1
681,19080297,3,1
682,19080299,1,1
683,19080300,4,1
684,19080300,6,3
685,19080300,2,4
686,19080300,3,4
687,19080301,7,4
688,19080301,5,3
689,19080302,4,1
690,19080302,0,4
691,19080302,7,2
692,19080302,8,1
693,19080302,5,2
694,19080303,2,1
695,19080303,5,1
696,19080306,6,7
697,19080306,7,1
698,19080306,5,4
699,19080306,3,2
700,19080307,4,5
701,19080307,8,4
702,19080310,4,5
703,19080310,2,2
704,19080310,3,6
705,19080312,1,4
706,19080312,7,3
707,19080312,3,7
708,19080313,0,2
709,19080313,1,5
710,19080313,2,3
711,19080313,8,1
712,19080313,3,5
713,19080318,7,2
714,19080319,2,2
715,19080320,0,2
716,19080320,1,4
717,19080320,6,4
718,19080320,8,1
719,19080320,3,1
720,19080323,1,2
721,19080323,6,3
722,19080323,2,2
723,19080323,7,1
724,19080323,8,1
725,19080324,8,1
726,19080327,7,1
727,19080327,5,2
728,19080328,3,4
729,19080332,0,5
730,19080332,1,1
731,19080332,2,1
732,19080332,5,1
733,19080333,8,1
734,19080333,5,3
735,19080333,3,6
736,19080334,7,2
737,19080338,0,3
738,19080338,6,3
739,19080338,8,3
740,19080339,4,2
741,19080339,0,1
742,19080339,1,1
743,19080339,6,5
744,19080339,2,2
745,19080339,7,4
746,19080339,5,1
747,19080340,0,6
748,19080340,5,2
749,19080341,4,3
750,19080341,3,7
751,19080342,0,3
752,19080342,1,2
753,19080342,7,2
754,19080342,5,2
755,19080342,3,5
756,19080345,4,1
757,19080345,1,1
758,19080347,6,1
759,19080347,5,5
760,19080349,4,2
761,19080349,5,4
762,19080350,4,3
763,19080350,6,1
764,19080351,0,2
765,19080351,2,6
766,19080351,7,2
767,19080351,5,6
768,19080351,3,3
769,19080352,4,4
770,19080352,0,4
771,19080352,1,4
772,19080352,6,5
773,19080352,8,2
774,19080352,3,3
775,19080354,4,3
776,19080354,1,5
777,19080354,6,3
778,19080354,8,2
779,19080354,3,7
780,19080355,0,4
781,19080355,2,4
782,19080355,8,1
783,19080355,3,5
784,19080356,0,6
785,19080356,1,7
786,19080356,2,6
787,19080356,7,6
788,19080356,3,1
789,19080358,4,5
790,19080358,6,2
791,19080358,7,2
792,19080358,5,4
793,19080360,4,3
794,19080360,6,6
795,19080360,5,1
796,19080360,3,3
797,19080361,7,1
798,19080361,8,1
799,19080363,6,6
800,19080363,7,3
801,19080363,5,6
802,19080364,4,2
803,19080364,0,3
804,19080364,6,5
805,19080364,5,4
806,19080365,5,3
807,19080365,3,2
808,19080368,,0
809,19080369,1,1
810,19080369,8,2
811,19080370,4,1
812,19080370,0,6
813,19080370,7,5
814,19080371,4,2
815,19080371,6,3
816,19080373,0,1
817,19080373,6,4
818,19080376,0,4
819,19080376,7,3
820,19080376,8,2
821,19080376,5,1
822,19080377,0,3
823,19080377,1,1
824,19080377,2,2
825,19080377,7,1
826,19080377,5,2
827,19080378,4,2
828,19080378,0,3
829,19080378,8,2
830,19080378,5,3
831,19080380,4,1
832,19080380,1,2
833,19080380,5,4
834,19080381,4,1
835,19080381,2,1
836,19080381,5,5
837,19080381,3,4
838,19080382,0,7
839,19080382,2,4
840,19080382,7,1
841,19080383,0,5
842,19080383,1,1
843,19080383,6,5
844,19080383,2,2
845,19080383,7,1
846,19080383,5,4
847,19080383,3,7
848,19080384,4,1
849,19080384,0,1
850,19080384,2,3
851,19080384,7,1
852,19080384,8,2
853,19080384,5,2
854,19080386,4,3
855,19080386,0,2
856,19080386,1,3
857,19080391,4,3
858,19080391,6,2
859,19080391,8,3
860,19080392,4,3
861,19080392,6,5
862,19080392,2,5
863,19080393,4,2
864,19080393,0,1
865,19080393,1,4
866,19080394,0,1
867,19080394,8,4
868,19080394,3,5
869,19080395,4,5
870,19080395,0,1
871,19080395,1,4
872,19080395,6,2
873,19080395,7,3
874,19080395,5,5
875,19080395,3,2
876,19080397,0,3
877,19080397,8,1
878,19080397,5,5
879,19080397,3,2
880,19080398,2,1
881,19080398,8,1
882,19080401,4,4
883,19080402,4,4
884,19080402,1,2
885,19080402,6,2
886,19080402,7,2
887,19080402,5,2
888,19080403,4,3
889,19080403,0,3
890,19080403,6,4
891,19080403,2,3
892,19080403,7,4
893,19080403,5,4
894,19080404,0,5
895,19080404,7,2
896,19080407,6,2
897,19080407,2,4
898,19080407,8,3
899,19080407,5,6
900,19080408,4,6
901,19080408,0,3
902,19080408,6,3
903,19080408,2,5
904,19080411,0,4
905,19080411,2,6
906,19080411,8,2
907,19080411,3,7
908,19080416,4,1
909,19080416,0,2
910,19080418,0,6
911,19080419,1,2
912,19080419,2,6
913,19080420,4,2
914,19080420,0,6
915,19080420,1,7
916,19080420,6,4
917,19080420,7,3
918,19080420,8,4
919,19080422,6,1
920,19080422,3,3
921,19080423,0,4
922,19080423,1,3
923,19080423,6,1
924,19080423,2,2
925,19080423,7,4
926,19080424,4,2
927,19080424,2,2
928,19080425,1,4
929,19080425,5,1
930,19080425,3,7
931,19080428,4,1
932,19080428,1,1
933,19080428,5,3
934,19080429,1,2
935,19080429,6,1
936,19080429,8,2
937,19080429,5,3
938,19080430,0,3
939,19080430,1,3
940,19080432,4,2
941,19080432,1,4
942,19080432,8,1
943,19080435,4,1
944,19080435,0,1
945,19080435,1,1
946,19080435,2,2
947,19080438,1,1
948,19080439,6,3
949,19080439,5,1
950,19080439,3,2
951,19080441,0,2
952,19080441,1,8
953,19080441,7,1
954,19080442,4,4
955,19080442,1,1
956,19080442,6,5
957,19080442,2,1
958,19080442,7,2
959,19080442,8,3
960,19080442,5,2
961,19080443,1,2
962,19080443,6,1
963,19080443,2,2
964,19080443,7,1
965,19080443,8,5
966,19080443,5,1
967,19080444,4,1
968,19080444,6,1
969,19080444,7,3
970,19080444,5,4
971,19080445,1,2
972,19080445,7,3
973,19080445,8,1
974,19080448,4,4
975,19080450,0,3
976,19080450,1,5
977,19080450,6,1
978,19080450,2,3
979,19080450,5,5
980,19080450,3,3
981,19080451,1,1
982,19080451,6,3
983,19080451,2,4
984,19080451,5,4
985,19070002,0,2
986,19070003,1,1
987,19070003,5,4
988,19070004,4,3
989,19070004,6,1
990,19070004,8,3
991,19070004,5,5
992,19070005,8,6
993,19070006,1,2
994,19070006,8,1
995,19070006,5,7
996,19070007,4,2
997,19070007,1,9
998,19070007,2,2
999,19070007,8,5
1000,19070008,4,5
1001,19070008,6,2
1002,19070008,2,3
1003,19070008,5,4
1004,19070011,4,2
1005,19070011,0,1
1006,19070011,1,4
1007,19070011,8,1
1008,19070012,4,1
1009,19070012,2,2
1010,19070012,8,4
1011,19070013,4,1
1012,19070013,1,3
1013,19070013,2,4
1014,19070014,4,2
1015,19070014,0,2
1016,19070014,6,1
1017,19070014,5,5
1018,19070014,3,4
1019,19070015,0,2
1020,19070015,1,1
1021,19070015,6,2
1022,19070015,2,3
1023,19070015,7,1
1024,19070015,3,1
1025,19070016,4,4
1026,19070016,1,2
1027,19070016,6,5
1028,19070017,6,5
1029,19070017,2,2
1030,19070018,0,1
1031,19070018,2,5
1032,19070018,8,1
1033,19070021,7,1
1034,19070021,5,2
1035,19070022,6,2
1036,19070022,5,8
1037,19070022,3,2
1038,19070024,6,6
1039,19070024,8,1
1040,19070024,3,3
1041,19070026,8,2
1042,19070027,8,4
1043,19070027,5,6
1044,19070029,1,2
1045,19070030,4,2
1046,19070030,1,1
1047,19070030,2,3
1048,19070030,8,1
1049,19070031,4,4
1050,19070031,0,1
1051,19070031,1,2
1052,19070031,5,9
1053,19070031,3,1
1054,19070032,4,5
1055,19070032,6,3
1056,19070032,7,4
1057,19070033,4,1
1058,19070033,6,1
1059,19070033,2,1
1060,19070033,8,1
1061,19070033,5,2
1062,19070034,6,2
1063,19070034,2,2
1064,19070034,7,5
1065,19070034,8,1
1066,19070035,1,1
1067,19070035,7,2
1068,19070035,8,1
1069,19070035,3,1
1070,19070036,1,2
1071,19070036,7,1
1072,19070039,4,2
1073,19070039,1,4
1074,19070039,6,1
1075,19070039,7,3
1076,19070039,5,3
1077,19070040,0,5
1078,19070040,2,2
1079,19070042,0,2
1080,19070042,2,3
1081,19070046,0,4
1082,19070046,2,3
1083,19070046,5,2
1084,19070048,2,2
1085,19070048,7,3
1086,19070048,3,10
1087,19070050,6,4
1088,19070050,2,6
1089,19070050,3,1
1090,19070051,0,5
1091,19070051,1,2
1092,19070051,2,3
1093,19070051,8,2
1094,19070051,5,2
1095,19070051,3,3
1096,19070052,0,6
1097,19070052,6,2
1098,19070052,2,3
1099,19070052,7,1
1100,19070053,1,3
1101,19070053,6,1
1102,19070054,6,3
1103,19070055,4,5
1104,19070055,0,5
1105,19070055,1,4
1106,19070055,2,3
1107,19070056,4,4
1108,19070056,1,1
1109,19070056,6,3
1110,19070056,8,2
1111,19070056,5,3
1112,19070056,3,1
1113,19070057,0,4
1114,19070057,1,1
1115,19070057,7,1
1116,19070058,4,3
1117,19070058,0,1
1118,19070058,1,5
1119,19070058,3,3
1120,19070059,4,5
1121,19070059,1,4
1122,19070059,6,4
1123,19070059,7,1
1124,19070059,8,2
1125,19070059,5,2
1126,19070061,4,2
1127,19070061,1,1
1128,19070061,6,1
1129,19070061,8,1
1130,19070062,4,6
1131,19070062,2,5
1132,19070062,5,2
1133,19070065,1,3
1134,19070065,7,5
1135,19070065,3,8
1136,19070066,4,5
1137,19070066,2,3
1138,19070066,8,1
1139,19070066,3,1
1140,19070067,1,1
1141,19070067,6,1
1142,19070067,8,2
1143,19070067,5,3
1144,19070068,0,5
1145,19070068,1,1
1146,19070070,4,7
1147,19070070,1,2
1148,19070070,6,2
1149,19070070,4,7
1150,19070070,1,2
1151,19070070,6,2
1152,19070071,0,3
1153,19070071,7,3
1154,19070072,4,2
1155,19070072,0,2
1156,19070072,6,5
1157,19070072,8,2
1158,19070074,1,2
1159,19070075,0,3
1160,19070075,6,3
1161,19070075,3,3
1162,19070076,7,5
1163,19070076,8,2
1164,19070079,7,3
1165,19070079,5,5
1166,19070081,4,2
1167,19070081,1,3
1168,19070081,2,2
1169,19070081,8,2
1170,19070083,1,6
1171,19070083,2,5
1172,19070083,8,3
1173,19070084,4,3
1174,19070084,1,2
1175,19070084,5,4
1176,19070085,4,5
1177,19070085,7,2
1178,19070085,8,1
1179,19070085,5,2
1180,19070085,3,1
1181,19070086,0,1
1182,19070086,3,1
1183,19070087,0,4
1184,19070087,2,3
1185,19070087,7,1
1186,19070087,3,2
1187,19070089,4,2
1188,19070089,1,3
1189,19070091,5,4
1190,19070092,2,1
1191,19070092,7,1
1192,19070093,,0
1193,19070094,6,8
1194,19070094,2,3
1195,19070094,7,1
1196,19070094,8,1
1197,19070094,3,3
1198,19070096,6,2
1199,19070096,7,1
1200,19070097,0,5
1201,19070097,1,4
1202,19070097,8,1
1203,19070097,5,5
1204,19070097,3,3
1205,19070100,1,2
1206,19070100,8,6
1207,19070100,5,1
1208,19070103,4,3
1209,19070103,1,3
1210,19070103,6,4
1211,19070103,7,2
1212,19070103,8,2
1213,19070103,5,1
1214,19070104,1,3
1215,19070104,6,2
1216,19070104,2,7
1217,19070104,7,2
1218,19070104,8,1
1219,19070104,5,2
1220,19070105,4,2
1221,19070105,2,5
1222,19070105,8,5
1223,19070105,5,4
1224,19070105,3,1
1225,19070106,0,4
1226,19070106,6,3
1227,19070108,7,4
1228,19070108,3,3
1229,19070110,2,9
1230,19070110,7,4
1231,19070110,5,3
1232,19070110,3,5
1233,19070112,0,3
1234,19070112,1,4
1235,19070112,6,5
1236,19070112,2,6
1237,19070112,7,2
1238,19070112,5,3
1239,19070113,4,4
1240,19070113,0,9
1241,19070113,6,1
1242,19070113,2,2
1243,19070114,4,2
1244,19070114,0,2
1245,19070114,6,8
1246,19070115,6,1
1247,19070115,2,2
1248,19070115,8,2
1249,19070116,7,1
1250,19070116,8,1
1251,19070117,7,3
1252,19070117,5,1
1253,19070118,4,2
1254,19070118,7,3
1255,19070118,8,4
1256,19070118,3,6
1257,19070120,1,2
1258,19070120,2,3
1259,19070120,7,3
1260,19070120,5,2
1261,19070121,0,3
1262,19070122,4,6
1263,19070122,0,1
1264,19070122,2,4
1265,19070123,4,5
1266,19070123,1,2
1267,19070123,6,7
1268,19070123,5,1
1269,19070124,0,1
1270,19070124,7,2
1271,19070125,4,4
1272,19070125,0,3
1273,19070125,1,4
1274,19070125,3,4
1275,19070126,0,1
1276,19070128,0,2
1277,19070128,6,3
1278,19070136,4,2
1279,19070136,5,5
1280,19070136,3,4
1281,19070138,1,3
1282,19070138,8,2
1283,19070139,0,3
1284,19070139,6,6
1285,19070139,5,6
1286,19070139,3,1
1287,19070140,6,2
1288,19070140,2,4
1289,19070140,7,2
1290,19070140,8,1
1291,19070140,5,5
1292,19070144,4,1
1293,19070144,0,2
1294,19070144,7,3
1295,19070145,4,1
1296,19070145,2,2
1297,19070145,7,1
1298,19070145,8,3
1299,19070145,3,7
1300,19070146,4,1
1301,19070146,2,3
1302,19070146,3,1
1303,19070147,2,1
1304,19070147,5,1
1305,19070148,4,5
1306,19070148,6,1
1307,19070148,7,2
1308,19070150,1,3
1309,19070153,6,5
1310,19070153,7,2
1311,19070154,4,4
1312,19070154,7,2
1313,19070154,3,4
1314,19070155,6,3
1315,19070155,2,1
1316,19070155,8,2
1317,19070156,1,5
1318,19070156,2,4
1319,19070156,7,4
1320,19070156,8,3
1321,19070156,3,2
1322,19070158,0,5
1323,19070158,6,1
1324,19070158,8,4
1325,19070159,3,1
1326,19070161,0,6
1327,19070161,6,4
1328,19070161,3,3
1329,19070164,0,1
1330,19070164,1,3
1331,19070164,8,4
1332,19070164,3,2
1333,19070165,2,6
1334,19070165,7,2
1335,19070165,5,2
1336,19070165,3,3
1337,19070166,4,3
1338,19070166,2,2
1339,19070166,7,3
1340,19070167,4,2
1341,19070167,0,1
1342,19070167,6,4
1343,19070167,2,3
1344,19070167,5,1
1345,19070167,3,1
1346,19070168,8,1
1347,19070169,4,5
1348,19070169,1,1
1349,19070170,4,2
1350,19070170,0,3
1351,19070170,1,2
1352,19070170,6,1
1353,19070171,2,2
1354,19070171,8,3
1355,19070171,5,4
1356,19070174,4,1
1357,19070174,6,1
1358,19070174,2,1
1359,19070175,4,5
1360,19070175,2,2
