,applicant_id,strength_id
408,19080283,8
409,19080283,4
410,19080283,17
411,19080287,4
412,19080287,6
413,19080289,4
414,19080289,10
415,19080289,15
416,19080291,9
417,19080291,1
418,19080291,18
419,19080292,10
420,19080292,13
421,19080293,15
422,19080293,12
423,19080294,3
424,19080295,12
425,19080295,8
426,19080295,9
427,19080296,8
428,19080296,2
429,19080296,4
430,19080296,8
431,19080296,2
432,19080296,4
433,19080297,10
434,19080297,18
435,19080299,7
436,19080300,16
437,19080301,13
438,19080302,7
439,19080302,24
440,19080303,9
441,19080303,21
442,19080303,5
443,19080306,15
444,19080307,17
445,19080310,4
446,19080312,8
447,19080312,4
448,19080313,13
449,19080318,21
450,19080318,22
451,19080318,23
452,19080319,2
453,19080320,7
454,19080323,5
455,19080323,1
456,19080323,6
457,19080324,12
458,19080327,14
459,19080328,5
460,19080328,14
461,19080332,2
462,19080332,10
463,19080332,1
464,19080333,14
465,19080334,1
466,19080334,20
467,19080338,21
468,19080339,21
469,19080339,20
470,19080340,0
471,19080340,23
472,19080340,2
473,19080341,2
474,19080342,10
475,19080342,1
476,19080345,18
477,19080345,9
478,19080347,2
479,19080347,21
480,19080349,18
481,19080349,1
482,19080349,24
483,19080350,4
484,19080350,1
485,19080351,4
486,19080352,15
487,19080352,13
488,19080352,22
489,19080354,18
490,19080354,24
491,19080354,10
492,19080355,3
493,19080355,1
494,19080355,10
495,19080356,21
496,19080358,12
497,19080360,22
498,19080360,14
499,19080360,4
500,19080361,23
501,19080363,17
502,19080363,5
503,19080363,24
504,19080364,10
505,19080365,12
506,19080368,15
507,19080368,19
508,19080368,11
509,19080369,3
510,19080369,0
511,19080369,9
512,19080370,1
513,19080370,14
514,19080371,3
515,19080371,14
516,19080373,23
517,19080373,7
518,19080376,16
519,19080376,12
520,19080377,20
521,19080378,12
522,19080378,2
523,19080380,3
524,19080381,22
525,19080382,13
526,19080382,5
527,19080382,24
528,19080383,7
529,19080384,16
530,19080384,12
531,19080386,3
532,19080391,6
533,19080391,15
534,19080391,24
535,19080392,20
536,19080392,7
537,19080393,4
538,19080394,3
539,19080394,8
540,19080395,16
541,19080395,23
542,19080395,15
543,19080397,16
544,19080398,18
545,19080398,1
546,19080401,14
547,19080402,0
548,19080402,21
549,19080402,8
550,19080403,22
551,19080404,14
552,19080404,2
553,19080407,7
554,19080407,13
555,19080408,6
556,19080408,17
557,19080408,0
558,19080411,4
559,19080411,5
560,19080416,11
561,19080418,12
562,19080419,22
563,19080420,12
564,19080420,0
565,19080422,23
566,19080422,13
567,19080423,14
568,19080423,18
569,19080424,23
570,19080424,10
571,19080425,9
572,19080425,10
573,19080428,11
574,19080428,18
575,19080429,12
576,19080429,14
577,19080429,3
578,19080430,8
579,19080430,14
580,19080430,15
581,19080432,19
582,19080432,9
583,19080435,14
584,19080435,11
585,19080435,6
586,19080438,19
587,19080439,20
588,19080439,10
589,19080441,14
590,19080441,11
591,19080441,17
592,19080442,23
593,19080443,19
594,19080443,22
595,19080444,19
596,19080445,8
597,19080448,15
598,19080450,3
599,19080450,20
600,19080450,7
601,19080451,16
602,19080451,22
603,19080451,8
604,19070002,20
605,19070002,14
606,19070003,9
607,19070003,23
608,19070003,8
609,19070004,12
610,19070004,17
611,19070004,24
612,19070005,6
613,19070006,2
614,19070006,6
615,19070006,14
616,19070007,4
617,19070007,12
618,19070007,5
619,19070008,5
620,19070008,3
621,19070008,6
622,19070011,11
623,19070012,13
624,19070012,16
625,19070012,1
626,19070013,15
627,19070014,12
628,19070014,3
629,19070014,14
630,19070015,3
631,19070015,6
632,19070015,12
633,19070016,4
634,19070017,2
635,19070018,3
636,19070021,13
637,19070021,15
638,19070022,7
639,19070022,24
640,19070024,18
641,19070024,24
642,19070026,3
643,19070026,11
644,19070026,0
645,19070027,18
646,19070029,5
647,19070029,20
648,19070030,8
649,19070030,19
650,19070031,24
651,19070032,3
652,19070032,10
653,19070032,21
654,19070033,24
655,19070034,22
656,19070035,18
657,19070035,2
658,19070036,23
659,19070036,21
660,19070036,16
661,19070039,23
662,19070039,17
663,19070039,10
664,19070040,10
665,19070040,6
666,19070042,2
667,19070042,19
668,19070042,5
669,19070046,23
670,19070046,22
671,19070048,17
672,19070048,13
673,19070048,2
674,19070050,7
675,19070050,20
676,19070050,8
677,19070051,15
678,19070052,3
679,19070052,22
680,19070052,24
681,19070053,15
682,19070053,9
683,19070053,12
684,19070054,21
685,19070055,18
686,19070055,23
687,19070056,14
688,19070057,4
689,19070057,24
690,19070057,22
691,19070058,12
692,19070058,13
693,19070058,21
694,19070059,18
695,19070059,24
696,19070061,12
697,19070061,23
698,19070061,3
699,19070062,20
700,19070062,14
701,19070065,9
702,19070065,16
703,19070066,21
704,19070067,5
705,19070067,9
706,19070067,23
707,19070068,18
708,19070068,5
709,19070068,4
710,19070070,23
711,19070070,17
712,19070070,23
713,19070070,17
714,19070071,21
715,19070072,4
716,19070074,12
717,19070074,9
718,19070074,19
719,19070075,5
720,19070075,3
721,19070076,3
722,19070079,1
723,19070079,10
724,19070079,6
725,19070081,18
726,19070083,18
727,19070083,14
728,19070084,8
729,19070085,18
730,19070085,6
731,19070086,21
732,19070086,1
733,19070086,15
734,19070087,5
735,19070087,19
736,19070087,12
737,19070089,5
738,19070089,16
739,19070091,13
740,19070091,21
741,19070092,7
742,19070092,6
743,19070092,17
744,19070093,19
745,19070093,7
746,19070093,3
747,19070094,9
748,19070094,13
749,19070096,12
750,19070097,14
751,19070100,21
752,19070103,4
753,19070104,3
754,19070104,21
755,19070105,7
756,19070105,10
757,19070106,23
758,19070106,14
759,19070108,4
760,19070108,12
761,19070110,20
762,19070110,5
763,19070112,4
764,19070112,1
765,19070112,23
766,19070113,22
767,19070113,11
768,19070113,2
769,19070114,10
770,19070115,5
771,19070115,24
772,19070115,10
773,19070116,9
774,19070116,22
775,19070117,12
776,19070117,15
777,19070117,9
778,19070118,12
779,19070118,20
780,19070118,24
781,19070120,19
782,19070120,8
783,19070121,20
784,19070122,16
785,19070122,21
786,19070123,21
787,19070123,8
788,19070124,6
789,19070124,15
790,19070125,17
791,19070125,22
792,19070126,17
793,19070128,22
794,19070128,14
795,19070128,20
796,19070136,15
797,19070136,0
798,19070136,3
799,19070138,14
800,19070138,9
801,19070138,5
802,19070139,21
803,19070139,17
804,19070139,6
805,19070140,8
806,19070140,4
807,19070144,7
808,19070144,4
809,19070145,23
810,19070145,0
811,19070146,18
812,19070147,7
813,19070147,2
814,19070147,18
815,19070148,15
816,19070150,22
817,19070150,7
818,19070153,1
819,19070153,18
820,19070153,22
821,19070154,13
822,19070154,20
823,19070155,16
824,19070156,21
825,19070156,5
826,19070156,24
827,19070158,14
828,19070158,8
829,19070159,21
830,19070159,0
831,19070161,23
832,19070164,1
833,19070164,21
834,19070165,18
835,19070165,14
836,19070166,5
837,19070167,7
838,19070167,18
839,19070167,3
840,19070168,19
841,19070169,21
842,19070170,5
843,19070171,3
844,19070174,5
845,19070175,22
846,19070175,1
847,19070176,9
848,19070176,15
849,19070176,10
850,19070178,5
851,19070178,14
852,19070178,11
853,19070179,8
854,19070179,15
855,19070180,23
856,19070180,16
857,19070182,7
858,19070182,15
859,19070182,24
860,19070184,4
861,19070185,15
862,19070185,23
863,19070185,16
864,19070186,9
865,19070186,8
866,19070187,9
867,19070187,20
868,19070188,1
869,19070188,9
870,19070188,20
871,19070191,7
872,19070191,19
873,19070192,12
874,19070193,19
875,19070193,17
876,19070194,12
877,19070195,12
878,19070195,21
879,19070196,18
880,19070196,11
881,19070196,23
882,19070197,9
883,19070197,3
884,19070197,15
885,19070198,13
886,19070198,17
887,19070198,14
888,19070199,22
889,19070199,0
890,19070199,24
891,19070200,0
892,19070200,24
893,19070201,4
894,19070201,15
895,19070201,14
896,19070202,17
897,19070202,16
898,19070203,4
899,19070203,6
900,19070203,13
901,19070204,19
902,19070204,14
903,19070207,19
904,19070207,15
905,19070207,16
906,19070208,19
907,19070209,18
908,19070209,2
909,19070210,22
910,19070210,20
911,19070211,11
912,19070211,8
913,19070211,5
914,19070212,18
915,19070213,23
916,19070213,9
917,19070215,2
918,19070216,11
919,19070216,7
920,19070216,22
921,19070217,10
922,19070217,18
923,19070219,11
924,19070219,13
925,19070219,2
926,19070220,18
927,19070220,13
928,19070220,15
929,19070221,19
930,19070221,5
931,19070222,7
932,19070225,9
933,19070225,0
934,19070228,16
935,19070228,20
936,19070228,0
937,19070229,6
938,19070229,12
939,19070231,14
940,19070231,20
941,19070231,0
942,19070233,12
943,19070233,12
944,19070234,3
945,19070234,11
946,19070234,16
947,19070235,2
948,19070235,15
949,19070235,7
950,19070236,17
951,19070236,0
952,19070237,22
953,19070237,19
954,19070238,11
955,19070241,2
956,19070241,6
957,19070242,13
958,19070242,15
959,19070245,14
960,19070248,12
961,19070248,6
962,19070248,8
963,19070251,20
964,19070251,9
965,19070252,6
966,19070252,13
967,19070254,14
968,19070254,12
969,19070254,3
970,19070255,23
971,19070255,21
972,19070255,6
973,19070256,15
974,19070256,6
975,19070256,16
976,19070257,20
977,19070257,9
978,19070257,4
979,19070258,12
980,19070258,17
981,19070258,8
982,19070259,13
983,19070259,14
984,19070259,20
985,19070262,7
986,19070263,3
987,19070263,24
988,19070264,4
989,19070265,17
990,19070266,19
991,19070266,11
992,19070266,23
993,19070267,14
994,19070268,9
995,19070268,5
996,19070268,10
997,19070269,0
998,19070270,4
999,19070270,8
1000,19070270,3
1001,19070272,19
1002,19070272,4
1003,19070272,6
1004,19070274,3
1005,19070274,1
1006,19070275,2
1007,19070276,22
1008,19070276,14
1009,19070276,21
1010,19070277,8
1011,19070277,21
1012,19070277,2
1013,19070278,21
1014,19070278,1
1015,19070278,23
1016,19070281,24
1017,19070282,23
1018,19070282,3
1019,19070284,22
1020,19070284,1
1021,19070286,15
1022,19070286,20
1023,19070286,11
1024,19070287,12
1025,19070287,3
1026,19070287,7
1027,19070288,21
1028,19070289,9
1029,19070289,0
1030,19070289,24
1031,19070291,5
1032,19070292,3
1033,19070292,1
1034,19070293,14
1035,19070293,7
1036,19070295,7
1037,19070295,11
1038,19070295,16
1039,19070296,4
1040,19070299,19
1041,19070299,20
1042,19070301,15
1043,19070301,3
1044,19070306,23
1045,19070306,1
1046,19070306,19
1047,19070307,13
1048,19070307,9
1049,19070308,3
1050,19070310,22
1051,19070310,12
1052,19070310,18
1053,19070312,9
1054,19070312,17
1055,19070313,11
1056,19070314,19
1057,19070314,11
1058,19070314,16
1059,19070316,16
1060,19070316,19
1061,19070317,19
1062,19070317,22
1063,19070319,4
1064,19070319,19
1065,19070320,20
1066,19070321,4
1067,19070321,3
1068,19070321,8
1069,19070324,12
1070,19070324,16
1071,19070325,18
1072,19070325,0
1073,19070325,19
1074,19070326,19
1075,19070326,1
1076,19070327,4
1077,19070327,8
1078,19070327,23
1079,19070328,19
1080,19070331,24
1081,19070331,7
1082,19070332,19
1083,19070332,9
1084,19070332,7
1085,19070334,10
1086,19070334,0
1087,19070335,1
1088,19070337,23
1089,19070337,16
1090,19070338,1
1091,19070338,15
1092,19070338,17
1093,19070341,7
1094,19070341,4
1095,19070341,14
1096,19070342,15
1097,19070343,8
1098,19070343,19
1099,19070344,24
1100,19070344,15
1101,19070344,21
1102,19070345,14
1103,19070345,4
1104,19070346,20
1105,19070347,3
1106,19070349,10
1107,19070351,8
1108,19070354,10
1109,19070354,9
1110,19070360,11
1111,19070360,8
1112,19070360,0
1113,19070363,12
1114,19070363,19
1115,19070364,0
1116,19070364,24
1117,19070364,3
1118,19070365,17
1119,19070365,20
1120,19070367,1
1121,19070368,16
1122,19070369,10
1123,19070369,17
1124,19070369,7
1125,19070370,8
1126,19070370,14
1127,19070371,23
1128,19070371,22
1129,19070371,9
1130,19070373,22
1131,19070373,12
1132,19070373,16
1133,19070375,16
1134,19070376,14
1135,19070376,19
1136,19070377,19
1137,19070377,18
1138,19070378,13
1139,19070378,7
1140,19070378,15
1141,19070380,15
1142,19070380,2
1143,19070382,0
1144,19070382,18
1145,19070384,12
1146,19070385,23
1147,19070387,8
1148,19070387,20
1149,19070388,17
1150,19070388,1
1151,19070389,8
1152,19070390,2
1153,19070390,3
1154,19070391,3
1155,19070391,23
1156,19070391,7
1157,19070392,16
1158,19070393,22
1159,19070393,23
1160,19070394,17
1161,19070394,11
1162,19070394,21
1163,19070395,8
1164,19070396,5
1165,19070398,2
1166,19070400,10
1167,19070400,12
1168,19070400,11
1169,19070401,19
1170,19070401,17
1171,19070402,4
1172,19070403,1
1173,19070403,12
1174,19070403,23
1175,19070404,19
1176,19070405,16
1177,19070405,5
1178,19070405,2
1179,19070407,9
1180,19070410,9
1181,19070410,18
1182,19070411,11
1183,19070411,16
1184,19070413,12
1185,19070414,6
1186,19070414,10
1187,19070414,11
1188,19070415,7
1189,19070416,5
1190,19070416,9
1191,19070417,19
1192,19070417,1
1193,19070417,0
1194,19070418,3
1195,19070418,10
1196,19070418,1
1197,19070419,10
1198,19070419,16
1199,19070420,11
1200,19070420,1
1201,19070421,22
1202,19070421,2
1203,19070421,3
1204,19070422,8
1205,19070422,11
1206,19070422,24
1207,19070424,5
1208,19070424,12
1209,19070426,20
1210,19070426,8
1211,19070429,12
1212,19070429,0
1213,19070430,16
1214,19070434,10
1215,19070435,3
1216,19070435,14
1217,19070436,10
1218,19070436,1
1219,19070437,14
1220,19070438,19
1221,19070439,3
1222,19070439,13
1223,19070439,12
1224,19070440,15
1225,19070443,5
1226,19070444,21
1227,19070444,5
1228,19070445,20
1229,19070447,6
1230,19070447,10
1231,19070449,21
1232,19070451,3
1233,19070452,19
1234,19070452,13
1235,19070454,7
1236,19070454,21
1237,19070455,18
1238,19070455,3
1239,19070456,21
1240,19070457,3
1241,19070457,15
1242,19070460,17
1243,19060000,5
1244,19060000,17
1245,19060001,4
1246,19060002,7
1247,19060002,0
1248,19060003,15
1249,19060003,5
1250,19060003,12
1251,19060004,10
1252,19060005,1
1253,19060005,22
1254,19060006,24
1255,19060006,23
1256,19060006,4
1257,19060008,18
1258,19060008,23
1259,19060008,8
1260,19060009,18
1261,19060011,19
1262,19060015,5
1263,19060016,23
1264,19060016,5
1265,19060016,15
1266,19060017,21
1267,19060017,17
1268,19060017,23
1269,19060018,20
1270,19060019,15
1271,19060019,2
1272,19060020,19
1273,19060020,20
1274,19060020,5
1275,19060021,15
1276,19060022,14
1277,19060022,12
1278,19060022,20
1279,19060023,14
1280,19060023,10
1281,19060024,8
1282,19060028,6
1283,19060028,23
1284,19060029,20
1285,19060029,9
1286,19060029,3
1287,19060030,14
1288,19060030,5
1289,19060032,20
1290,19060032,7
1291,19060032,18
1292,19060034,13
1293,19060034,23
1294,19060034,1
1295,19060036,19
1296,19060036,16
1297,19060037,9
1298,19060037,0
1299,19060037,2
1300,19060038,21
1301,19060038,4
1302,19060038,19
1303,19060039,11
1304,19060039,24
1305,19060040,2
1306,19060040,7
1307,19060040,10
1308,19060041,5
1309,19060042,20
1310,19060042,8
1311,19060042,11
1312,19060043,4
1313,19060044,10
1314,19060044,8
1315,19060044,16
1316,19060045,18
1317,19060045,1
1318,19060046,21
1319,19060046,7
1320,19060047,20
1321,19060051,15
1322,19060054,11
1323,19060055,16
1324,19060056,19
1325,19060057,13
1326,19060057,8
1327,19060057,11
1328,19060059,8
1329,19060059,18
1330,19060059,5
1331,19060060,16
1332,19060061,7
1333,19060061,10
1334,19060064,7
1335,19060064,24
1336,19060066,2
1337,19060068,11
1338,19060068,10
1339,19060068,2
1340,19060069,21
1341,19060069,10
1342,19060069,22
1343,19060070,6
1344,19060071,13
1345,19060071,21
1346,19060071,16
1347,19060072,0
1348,19060072,5
1349,19060072,1
1350,19060073,15
1351,19060073,0
1352,19060075,21
1353,19060075,0
1354,19060078,14
1355,19060078,9
1356,19060079,3
1357,19060080,11
1358,19060080,3
1359,19060080,22
1360,19060081,1
1361,19060082,24
1362,19060083,16
1363,19060083,20
1364,19060084,15
1365,19060084,3
1366,19060084,9
1367,19060085,12
1368,19060085,20
1369,19060086,5
1370,19060086,9
1371,19060087,7
1372,19060087,2
1373,19060087,15
1374,19060089,14
1375,19060089,3
1376,19060090,12
1377,19060090,14
1378,19060091,23
1379,19060091,18
1380,19060091,12
1381,19060094,4
1382,19060094,14
1383,19060096,5
1384,19060097,8
1385,19060097,11
1386,19060097,6
1387,19060099,21
1388,19060099,18
1389,19060100,20
1390,19060103,15
1391,19060104,9
1392,19060104,4
1393,19060104,7
1394,19060105,8
1395,19060105,7
1396,19060105,0
1397,19060106,24
1398,19060107,3
1399,19060109,18
1400,19060109,11
1401,19060109,23
1402,19060113,9
1403,19060113,20
1404,19060113,8
1405,19060114,18
1406,19060114,5
1407,19060114,7
1408,19060115,13
1409,19060117,1
1410,19060117,14
1411,19060118,22
1412,19060118,18
1413,19060118,22
1414,19060118,18
1415,19060119,13
1416,19060120,10
1417,19060121,3
1418,19060121,19
1419,19060121,9
1420,19060123,3
1421,19060123,20
1422,19060123,8
1423,19060125,19
1424,19060126,19
1425,19060127,21
1426,19060128,15
1427,19060128,16
1428,19060128,18
1429,19060129,15
1430,19060129,6
1431,19060129,1
1432,19060130,18
1433,19060130,10
1434,19060131,22
1435,19060132,24
1436,19060133,11
1437,19060133,15
1438,19060141,3
1439,19060141,13
1440,19060143,22
1441,19060143,4
1442,19060143,16
1443,19060145,11
1444,19060145,7
1445,19060145,18
1446,19060146,8
1447,19060151,11
1448,19060151,24
1449,19060152,6
1450,19060152,23
1451,19060153,2
1452,19060153,10
1453,19060157,17
1454,19060157,20
1455,19060158,15
1456,19060158,16
1457,19060158,10
1458,19060159,15
1459,19060162,10
1460,19060164,4
1461,19060164,23
1462,19060164,7
1463,19060166,15
1464,19060167,16
1465,19060167,8
1466,19060167,24
1467,19060168,2
1468,19060168,13
1469,19060168,18
1470,19060171,3
1471,19060174,8
1472,19060174,13
1473,19060174,24
1474,19060175,12
1475,19060175,22
1476,19060175,20
1477,19060176,14
1478,19060176,12
1479,19060176,6
1480,19060177,19
1481,19060177,21
1482,19060178,22
1483,19060178,16
1484,19060179,0
1485,19060179,9
1486,19060179,3
1487,19060180,20
1488,19060180,7
1489,19060182,19
1490,19060182,15
1491,19060183,18
1492,19060186,1
1493,19060186,16
1494,19060187,1
1495,19060187,5
1496,19060187,2
1497,19060189,22
1498,19060189,14
1499,19060191,23
1500,19060191,22
1501,19060191,18
1502,19060192,14
1503,19060192,23
1504,19060192,17
1505,19060194,5
1506,19060196,2
1507,19060196,21
1508,19060198,9
1509,19060198,18
1510,19060198,5
1511,19060203,1
1512,19060204,24
1513,19060204,18
1514,19060204,2
1515,19060205,23
1516,19060205,5
1517,19060205,11
1518,19060207,14
1519,19060207,13
1520,19060208,6
1521,19060209,10
1522,19060209,16
1523,19060209,6
1524,19060212,1
1525,19060212,10
1526,19060215,12
1527,19060215,5
1528,19060216,3
1529,19060216,22
1530,19060216,14
1531,19060217,13
1532,19060218,8
1533,19060218,11
1534,19060218,20
1535,19060219,13
1536,19060220,4
1537,19060220,17
1538,19060220,3
1539,19060222,10
1540,19060223,19
1541,19060223,4
1542,19060224,16
1543,19060225,23
1544,19060226,11
1545,19060226,21
1546,19060226,10
1547,19060228,15
1548,19060228,11
1549,19060228,23
1550,19060230,11
1551,19060231,14
1552,19060232,7
1553,19060233,22
1554,19060233,23
1555,19060234,19
1556,19060234,13
1557,19060234,4
1558,19060238,12
1559,19060239,9
1560,19060240,4
1561,19060240,3
1562,19060241,9
1563,19060241,19
1564,19060242,17
1565,19060242,13
1566,19060242,2
1567,19060242,17
1568,19060242,13
1569,19060242,2
1570,19060244,16
1571,19060245,2
1572,19060245,7
1573,19060246,1
1574,19060246,4
1575,19060249,12
1576,19060249,17
1577,19060249,4
1578,19060251,11
1579,19060253,0
1580,19060255,22
1581,19060256,0
1582,19060261,7
1583,19060262,4
1584,19060263,0
1585,19060264,15
1586,19060264,0
1587,19060265,15
1588,19060265,17
1589,19060265,24
1590,19060266,8
1591,19060266,3
1592,19060266,24
1593,19060267,22
1594,19060267,23
1595,19060267,6
1596,19060273,15
1597,19060273,0
1598,19060274,1
1599,19060278,18
1600,19060278,21
1601,19060279,4
1602,19060279,10
1603,19060280,14
1604,19060281,15
1605,19060281,9
1606,19060282,11
1607,19060283,5
1608,19060283,23
1609,19060283,19
1610,19060284,22
1611,19060284,13
1612,19060286,13
1613,19060286,24
1614,19060287,24
1615,19060289,19
1616,19060289,0
1617,19060291,4
1618,19060292,21
1619,19060292,13
1620,19060293,24
1621,19060293,4
1622,19060293,13
1623,19060294,7
1624,19060294,6
1625,19060295,5
1626,19060296,18
1627,19060297,12
1628,19060298,8
1629,19060298,18
1630,19060298,0
1631,19060299,7
1632,19060299,21
1633,19060299,24
1634,19060300,1
1635,19060301,12
1636,19060302,2
1637,19060302,16
1638,19060303,21
1639,19060303,19
1640,19060303,6
1641,19060304,2
1642,19060304,23
1643,19060304,24
1644,19060305,14
1645,19060305,5
1646,19060306,1
1647,19060306,9
1648,19060307,24
1649,19060307,10
1650,19060308,10
1651,19060309,24
1652,19060309,6
1653,19060311,7
1654,19060311,0
1655,19060311,9
1656,19060312,16
1657,19060312,23
1658,19060312,6
1659,19060315,14
1660,19060315,24
1661,19060315,16
1662,19060316,24
1663,19060317,2
