,applicant_id,academy_day_id,psychometrics,presentation,self_development,geo_flex,financial_support_self,result,course_interest
58,19100353,116,55,21,1,0,1,0,Data
59,19100374,116,59,24,1,1,1,1,Data
60,19040018,42,55,21,1,1,1,1,Data
61,19040058,42,50,24,1,1,1,1,Engineering
62,19040068,42,66,19,1,1,1,1,Engineering
63,19040084,42,51,19,1,1,1,0,Data
64,19040116,42,56,18,1,1,1,1,Data
65,19040137,42,65,22,1,1,1,1,Data
66,19040141,42,54,24,1,1,1,0,Engineering
67,19040191,42,62,22,1,1,1,1,Business
68,19040201,42,72,20,1,1,1,1,Engineering
69,19040224,42,50,22,0,1,1,0,Data
70,19040237,42,55,22,0,1,1,0,Business
71,19040245,42,53,18,1,1,1,1,Business
72,19040261,42,58,24,1,1,1,1,Data
73,19040262,42,63,23,1,0,1,0,Business
74,19040265,42,57,19,1,1,1,0,Engineering
75,19040268,42,69,25,1,0,1,0,Data
76,19040302,42,52,23,1,1,1,1,Engineering
77,19040304,42,52,24,1,1,0,0,Data
78,19040321,42,56,18,1,1,1,1,Data
79,19040324,42,51,23,1,1,0,0,Data
80,19040340,42,51,22,1,1,0,0,Business
81,19040373,42,55,23,1,1,1,1,Engineering
82,19120001,146,66,15,1,1,1,1,Business
83,19120006,146,63,17,1,1,0,0,Engineering
84,19120007,146,53,21,1,0,0,0,Business
85,19120036,146,52,21,1,1,0,0,Business
86,19120069,146,62,21,1,1,0,0,Business
87,19120070,146,53,18,1,1,1,1,Data
88,19120085,146,62,25,1,1,1,1,Data
89,19120090,146,69,22,1,1,1,1,Business
90,19120101,146,60,20,1,1,1,1,Business
91,19120146,146,59,22,1,1,1,1,Data
92,19120160,146,51,20,1,1,1,0,Business
93,19120167,146,57,16,1,1,1,1,Engineering
94,19120175,146,55,17,1,1,1,1,Business
95,19120196,146,59,22,1,1,1,1,Business
96,19120215,146,60,22,1,1,1,1,Data
97,19120217,146,55,20,1,1,1,1,Data
98,19120237,146,52,21,1,1,1,1,Engineering
99,19120252,146,57,22,1,1,1,1,Engineering
100,19120257,146,50,21,1,1,1,1,Data
101,19120264,146,50,19,1,1,1,1,Data
102,19010001,4,50,19,1,1,1,1,Business
103,19010020,4,52,18,1,1,0,0,Business
104,19010044,4,52,18,1,0,1,0,Engineering
105,19010053,4,57,17,1,1,0,0,Engineering
106,19010063,4,50,16,1,1,1,1,Business
107,19010077,4,57,26,1,1,1,1,Engineering
108,19010105,4,50,18,1,1,1,1,Business
109,19010111,4,51,22,1,1,1,1,Data
110,19010135,4,56,23,1,1,1,0,Business
111,19010215,4,65,25,1,0,1,0,Engineering
112,19010249,4,50,28,1,1,0,0,Business
113,19010252,4,65,26,1,1,1,1,Data
114,19010298,4,63,22,1,1,1,1,Engineering
115,19070004,81,55,22,1,1,1,0,Data
116,19070032,81,72,24,0,1,1,0,Data
117,19070072,81,66,17,1,1,1,0,Data
118,19070081,81,58,22,1,1,0,0,Business
119,19070110,81,57,16,1,1,1,1,Engineering
120,19070144,81,53,18,1,1,1,1,Business
121,19070175,81,50,21,1,1,1,1,Business
122,19070178,81,53,27,1,1,0,0,Engineering
123,19070196,81,51,16,0,1,1,0,Data
124,19070201,81,55,18,1,1,1,0,Business
125,19070231,81,58,22,1,1,1,1,Engineering
126,19070254,81,62,17,1,1,1,1,Data
127,19070255,81,50,25,1,1,1,1,Business
128,19070262,81,60,22,1,1,1,1,Business
129,19070270,81,53,19,1,1,1,1,Data
130,19070277,81,60,21,1,1,1,1,Data
131,19070284,81,57,17,1,1,1,0,Business
132,19070292,81,60,22,1,1,1,1,Business
133,19070316,81,56,21,1,1,1,1,Data
134,19070320,81,62,22,1,1,1,1,Engineering
135,19070436,81,71,26,1,1,1,1,Data
136,19070447,81,59,22,1,1,0,0,Business
137,19100045,121,51,19,1,1,1,1,Business
138,19100079,121,53,23,1,1,1,1,Data
139,19100081,121,68,17,1,1,1,1,Engineering
140,19100084,121,63,21,1,1,1,1,Business
141,19100102,121,57,19,1,0,1,0,Data
142,19100107,121,63,23,1,1,1,1,Data
143,19100109,121,54,19,1,1,1,1,Data
144,19100111,121,56,16,1,1,1,1,Data
145,19100130,121,59,15,1,1,1,0,Engineering
146,19100136,121,57,19,0,1,1,0,Business
147,19100143,121,63,18,1,1,1,1,Engineering
148,19100144,121,61,23,1,1,1,1,Data
149,19100164,121,51,22,1,0,1,0,Data
150,19100192,121,55,17,1,1,1,1,Engineering
151,19100199,121,58,20,1,1,0,0,Data
152,19100216,121,59,22,1,1,1,1,Engineering
153,19100308,121,58,15,1,1,1,1,Data
154,19100344,121,57,20,0,1,0,0,Business
155,19100360,121,53,20,1,1,1,1,Engineering
156,19100390,121,67,23,0,1,1,0,Data
157,19100395,121,54,22,1,1,1,1,Business
158,19090058,107,60,22,1,1,1,1,Business
159,19090072,107,60,23,1,1,1,1,Engineering
160,19090087,107,52,22,0,1,0,0,Business
161,19090093,107,57,17,1,0,1,0,Engineering
162,19090110,107,55,23,1,1,1,1,Business
163,19090114,107,54,18,1,1,1,1,Data
164,19090120,107,52,24,1,1,1,1,Engineering
165,19090132,107,56,24,1,1,1,1,Business
166,19090134,107,62,20,1,1,1,1,Data
167,19090159,107,68,22,1,1,1,1,Data
168,19090169,107,56,26,1,1,1,1,Engineering
169,19090183,107,50,26,1,0,1,0,Engineering
170,19090190,107,63,19,1,1,1,1,Data
171,19090194,107,54,21,1,1,0,0,Data
172,19090196,107,53,23,1,1,1,1,Business
173,19090203,107,50,17,1,1,1,1,Data
174,19090249,107,64,28,1,1,1,1,Data
175,19090256,107,52,22,1,1,1,1,Data
176,19090304,107,55,18,1,1,1,1,Data
177,19090342,107,60,23,1,1,0,0,Business
178,19090396,107,62,20,1,1,1,1,Business
179,19090398,107,63,28,1,1,0,0,Business
180,19090407,107,62,25,0,1,1,0,Engineering
181,19040028,43,62,23,1,1,1,1,Business
182,19040051,43,57,19,0,1,1,0,Data
183,19040067,43,63,18,1,1,0,0,Business
184,19040083,43,66,16,1,1,1,1,Business
185,19040203,43,52,21,1,1,1,1,Engineering
186,19040208,43,59,22,1,1,1,1,Business
187,19040217,43,54,16,1,1,0,0,Engineering
188,19040220,43,55,21,0,1,1,0,Data
189,19040266,43,51,15,1,1,1,1,Data
190,19040297,43,55,20,1,1,1,1,Data
191,19040300,43,50,17,0,1,1,0,Business
192,19040319,43,54,18,1,1,0,0,Business
193,19040337,43,63,23,1,1,1,1,Engineering
194,19040350,43,64,24,1,1,1,1,Data
195,19040363,43,61,21,1,1,0,0,Business
196,19040376,43,57,17,1,1,1,1,Data
197,19120009,147,71,16,1,0,1,0,Business
198,19120011,147,54,21,1,1,1,1,Engineering
199,19120023,147,63,18,0,1,1,0,Business
200,19120028,147,53,19,1,1,1,1,Business
201,19120030,147,62,18,1,1,1,1,Engineering
202,19120039,147,58,21,1,1,1,1,Business
203,19120058,147,58,27,1,1,1,1,Engineering
204,19120061,147,56,20,0,1,1,0,Business
205,19120063,147,62,23,1,0,1,0,Data
206,19120073,147,53,17,1,1,1,1,Data
207,19120080,147,65,21,1,1,1,1,Business
208,19120082,147,54,19,1,1,1,1,Data
209,19120091,147,50,18,1,1,1,1,Engineering
210,19120112,147,57,18,1,0,1,0,Engineering
211,19120124,147,50,22,1,1,1,1,Business
212,19120133,147,60,23,1,1,0,0,Business
213,19120150,147,57,22,1,1,1,1,Business
214,19120156,147,64,19,1,1,1,1,Business
215,19120165,147,52,25,1,1,0,0,Data
216,19120187,147,52,23,1,1,1,0,Data
217,19120193,147,56,22,1,1,1,1,Business
218,19120227,147,52,22,1,1,1,1,Engineering
219,19120231,147,56,22,0,1,1,0,Engineering
220,19120234,147,58,25,1,1,1,1,Engineering
221,19120249,147,56,15,0,0,1,0,Data
222,19120270,147,66,22,1,1,1,1,Engineering
223,19120272,147,50,22,1,1,1,1,Data
224,19070017,82,58,22,1,1,1,1,Business
225,19070021,82,52,20,1,1,1,1,Data
226,19070030,82,56,20,1,0,1,0,Business
227,19070048,82,52,25,1,1,1,1,Engineering
228,19070050,82,53,26,1,1,1,1,Data
229,19070091,82,59,18,1,1,1,1,Data
230,19070155,82,62,25,1,1,1,1,Engineering
231,19070169,82,63,23,1,1,1,1,Data
232,19070171,82,59,22,1,1,1,1,Business
233,19070200,82,64,18,1,1,1,1,Data
234,19070204,82,61,17,1,0,1,0,Engineering
235,19070220,82,52,18,1,1,1,1,Business
236,19070272,82,58,15,1,1,1,1,Data
237,19070287,82,51,22,1,1,1,1,Engineering
238,19070295,82,57,27,1,1,1,1,Data
239,19070342,82,63,20,0,1,1,0,Data
240,19070349,82,57,23,1,1,1,1,Business
241,19070388,82,53,23,1,1,1,1,Data
242,19070391,82,53,19,1,1,1,1,Data
243,19070392,82,51,16,1,1,1,1,Data
244,19070403,82,58,20,1,1,1,1,Business
245,19070411,82,53,28,1,1,1,1,Data
246,19070413,82,63,19,1,1,1,1,Business
247,19070414,82,57,18,0,1,1,0,Engineering
248,19070437,82,61,17,1,1,0,0,Data
249,19070440,82,67,16,1,1,0,0,Data
250,19070449,82,60,26,1,1,1,1,Engineering
251,19090005,108,59,26,1,1,1,1,Data
252,19090015,108,56,18,1,1,1,0,Business
253,19090023,108,53,24,1,1,1,1,Engineering
254,19090026,108,58,23,1,1,1,1,Business
255,19090057,108,55,19,1,1,1,1,Data
256,19090062,108,50,17,1,1,1,1,Data
257,19090066,108,59,21,1,1,0,0,Data
258,19090075,108,60,17,1,1,1,1,Engineering
259,19090082,108,65,23,1,1,0,0,Engineering
260,19090104,108,58,19,1,1,1,1,Engineering
261,19090116,108,53,23,1,1,1,1,Business
262,19090118,108,57,16,1,1,1,1,Data
263,19090131,108,51,23,1,1,1,1,Data
264,19090148,108,54,21,1,1,1,1,Data
265,19090154,108,63,15,1,0,1,0,Data
266,19090162,108,50,19,1,1,1,1,Business
267,19090185,108,54,23,0,1,1,0,Data
268,19090199,108,53,17,1,1,1,1,Business
269,19090218,108,57,21,1,1,1,1,Business
270,19090222,108,66,17,1,1,1,1,Engineering
271,19090227,108,57,18,1,1,1,1,Engineering
272,19090234,108,54,23,1,1,1,1,Engineering
273,19090252,108,65,17,1,1,1,1,Business
274,19090257,108,55,19,0,1,1,0,Data
275,19090265,108,53,17,1,1,1,1,Business
276,19090276,108,53,22,1,1,1,1,Data
277,19090286,108,61,17,1,1,1,1,Engineering
278,19090295,108,57,25,0,1,1,0,Engineering
279,19090303,108,67,16,1,1,1,0,Data
280,19090322,108,58,17,1,1,1,1,Business
281,19090330,108,64,17,1,1,1,1,Business
282,19090331,108,53,23,1,1,0,0,Engineering
283,19090353,108,66,19,1,1,1,1,Data
284,19090391,108,51,25,1,1,0,0,Engineering
285,19120014,148,53,24,1,1,1,1,Engineering
286,19120034,148,52,19,1,1,1,1,Data
287,19120049,148,51,26,0,1,0,0,Business
288,19120052,148,57,23,1,1,1,1,Data
289,19120074,148,55,23,1,1,1,1,Business
290,19120089,148,55,22,1,1,0,0,Engineering
291,19120109,148,58,22,1,1,1,1,Engineering
292,19120117,148,53,23,1,1,1,1,Business
293,19120123,148,54,20,1,1,1,1,Data
294,19120126,148,65,26,0,0,0,0,Data
295,19120180,148,58,19,1,1,1,1,Data
296,19120189,148,54,17,1,1,1,1,Data
297,19120199,148,66,16,1,1,1,1,Engineering
298,19120208,148,54,21,1,1,1,1,Data
299,19120210,148,65,15,1,1,1,1,Data
300,19120218,148,57,17,1,1,0,0,Engineering
301,19120243,148,56,21,1,1,0,0,Engineering
302,19120258,148,57,22,1,1,1,1,Engineering
303,19020008,17,60,16,1,1,1,1,Business
304,19020011,17,64,19,1,1,1,1,Engineering
305,19020017,17,61,21,1,1,1,1,Business
306,19020021,17,58,18,1,1,1,1,Data
307,19020064,17,57,23,1,0,1,0,Business
308,19020072,17,58,19,1,1,0,0,Business
309,19020120,17,59,15,1,1,1,0,Engineering
310,19020123,17,53,23,1,0,1,0,Engineering
311,19020142,17,54,19,1,1,1,1,Engineering
312,19020159,17,59,18,1,1,1,1,Engineering
313,19020168,17,59,23,1,1,1,1,Engineering
314,19020189,17,68,16,1,1,1,1,Data
315,19020207,17,58,23,0,1,1,0,Engineering
316,19020210,17,63,25,1,1,1,1,Data
317,19020210,17,63,25,1,1,1,1,Data
318,19020232,17,60,18,0,1,1,0,Data
319,19020241,17,50,20,1,1,1,1,Data
320,19020258,17,54,16,1,1,1,1,Engineering
321,19020294,17,51,17,1,0,1,0,Business
322,19020312,17,53,21,0,1,1,0,Data
323,19020314,17,54,19,1,1,1,1,Data
324,19020317,17,53,22,1,1,1,1,Engineering
325,19020360,17,61,15,1,1,0,0,Business
326,19030001,29,54,19,1,1,1,1,Engineering
327,19030020,29,54,24,1,1,1,1,Engineering
328,19030021,29,59,17,1,1,1,1,Business
329,19030058,29,58,23,1,0,1,0,Engineering
330,19030061,29,58,21,1,1,1,1,Engineering
331,19030084,29,64,20,1,1,1,1,Data
332,19030108,29,60,24,1,1,1,1,Business
333,19030111,29,55,16,1,0,1,0,Data
334,19030119,29,52,23,1,0,1,0,Business
335,19030126,29,56,23,1,1,0,0,Business
336,19030152,29,59,24,1,1,1,1,Engineering
337,19030160,29,69,22,0,1,1,0,Data
338,19030166,29,57,17,1,1,1,1,Engineering
339,19030189,29,51,22,1,1,1,1,Data
340,19030194,29,57,19,1,1,1,1,Engineering
341,19030201,29,50,26,1,1,1,1,Business
342,19030269,29,66,22,1,1,1,1,Business
343,19030310,29,61,22,1,1,1,1,Engineering
344,19030338,29,56,19,1,0,1,0,Business
345,19030340,29,63,22,1,1,1,1,Engineering
346,19110004,134,65,20,1,1,1,1,Data
347,19110006,134,51,17,0,1,1,0,Engineering
348,19110048,134,53,16,1,1,1,1,Engineering
349,19110081,134,53,19,1,1,1,1,Data
350,19110098,134,59,18,1,1,1,1,Data
351,19110125,134,53,17,1,1,1,1,Data
352,19110149,134,52,21,1,1,1,1,Data
353,19110153,134,56,19,0,1,1,0,Engineering
354,19110168,134,63,21,1,1,1,1,Engineering
355,19110181,134,55,15,1,0,1,0,Business
356,19110200,134,55,19,1,1,1,1,Business
357,19110208,134,55,19,1,1,1,1,Business
358,19110226,134,55,21,1,0,1,0,Data
359,19110228,134,54,22,1,1,1,1,Engineering
360,19110233,134,52,21,1,1,1,1,Data
361,19110238,134,69,24,1,0,1,0,Engineering
362,19110301,134,60,19,1,1,0,0,Business
363,19110304,134,60,20,1,1,1,1,Engineering
364,19110310,134,63,26,1,1,1,1,Data
365,19110328,134,52,21,1,1,1,1,Engineering
366,19110335,134,52,17,0,1,1,0,Business
367,19090006,109,58,19,1,1,1,1,Data
368,19090032,109,54,16,1,1,1,1,Data
369,19090046,109,56,20,1,1,0,0,Engineering
370,19090088,109,51,23,1,1,1,1,Data
371,19090090,109,53,22,0,1,1,0,Data
372,19090113,109,57,20,1,1,1,1,Business
373,19090211,109,59,23,1,1,1,1,Data
374,19090246,109,54,17,1,1,1,1,Business
375,19090275,109,51,17,1,0,1,0,Data
376,19090278,109,57,23,1,1,1,1,Engineering
377,19090292,109,56,21,1,1,1,1,Engineering
378,19090292,109,56,21,1,1,1,1,Engineering
379,19090315,109,60,20,1,1,1,1,Data
380,19090316,109,58,18,1,1,1,1,Data
381,19090339,109,57,15,1,1,1,1,Data
382,19090356,109,52,18,1,1,1,1,Engineering
383,19090386,109,50,19,1,1,1,1,Engineering
384,19090399,109,54,25,1,1,1,0,Data
385,19090413,109,51,22,1,1,1,1,Data
386,19090416,109,61,27,1,1,0,0,Engineering
387,19080038,95,59,19,0,1,1,0,Business
388,19080057,95,58,30,1,1,1,1,Data
389,19080066,95,62,21,1,1,1,1,Data
390,19080073,95,54,21,1,0,1,0,Business
391,19080085,95,58,19,1,1,1,1,Engineering
392,19080085,95,58,19,1,1,1,1,Engineering
393,19080093,95,62,20,1,1,1,1,Data
394,19080126,95,67,20,1,1,1,0,Engineering
395,19080129,95,53,24,0,1,1,0,Engineering
396,19080138,95,54,21,1,1,1,1,Engineering
397,19080194,95,64,19,1,1,1,1,Business
398,19080227,95,56,19,1,1,1,1,Engineering
399,19080228,95,54,24,1,1,1,1,Engineering
400,19080259,95,59,18,1,1,1,1,Business
401,19080289,95,55,21,1,1,1,1,Engineering
402,19080294,95,68,22,1,1,1,1,Data
403,19080310,95,52,18,1,1,1,0,Data
404,19080312,95,56,25,1,1,0,0,Engineering
405,19080320,95,58,25,1,0,1,0,Data
406,19080328,95,59,19,1,1,1,1,Data
407,19020002,18,53,17,1,1,0,0,Business
408,19020016,18,56,20,1,1,1,1,Engineering
409,19020049,18,51,23,1,0,1,0,Data
410,19020065,18,52,21,1,1,1,1,Engineering
411,19020093,18,53,23,1,1,1,1,Data
412,19020114,18,65,18,1,0,0,0,Engineering
413,19020122,18,51,22,1,1,1,1,Data
414,19020131,18,66,22,1,1,1,1,Data
415,19020143,18,51,20,1,1,1,0,Data
416,19020147,18,57,22,1,1,1,1,Business
417,19020165,18,67,18,1,1,1,1,Engineering
418,19020177,18,62,23,1,1,1,1,Business
419,19020179,18,53,22,1,1,1,1,Business
420,19020193,18,61,20,1,1,0,0,Data
421,19020196,18,52,18,0,1,0,0,Data
422,19020220,18,60,25,1,1,1,1,Engineering
423,19020245,18,57,16,1,1,1,1,Engineering
424,19020282,18,53,21,1,1,1,1,Data
425,19020283,18,62,16,1,1,1,1,Business
426,19020290,18,60,23,0,1,1,0,Business
427,19020293,18,50,19,0,1,1,0,Data
428,19020323,18,61,19,1,1,1,1,Data
429,19020336,18,58,26,1,1,1,1,Business
430,19030030,30,62,16,1,1,1,1,Data
431,19030035,30,57,25,1,1,1,1,Engineering
432,19030064,30,53,21,0,1,0,0,Business
433,19030089,30,50,19,1,1,0,0,Engineering
434,19030096,30,58,22,1,1,1,1,Business
435,19030102,30,62,28,1,1,1,1,Engineering
436,19030106,30,53,19,1,1,0,0,Engineering
437,19030142,30,60,20,1,1,1,1,Data
438,19030190,30,57,21,1,1,1,1,Engineering
439,19030259,30,63,25,0,0,1,0,Data
440,19030270,30,57,20,0,1,1,0,Business
441,19030277,30,55,17,1,1,1,1,Engineering
442,19030285,30,68,22,1,1,1,0,Data
443,19030286,30,62,24,1,0,1,0,Engineering
444,19030314,30,56,19,1,1,1,1,Business
445,19030326,30,55,19,1,1,1,1,Engineering
446,19030327,30,54,21,1,1,1,1,Engineering
447,19030330,30,55,21,1,1,0,0,Business
448,19030351,30,55,22,1,1,1,1,Business
449,19030363,30,54,22,1,1,1,1,Data
450,19030366,30,51,20,0,1,0,0,Data
451,19110003,135,61,18,1,1,1,1,Engineering
452,19110014,135,64,17,1,1,1,1,Engineering
453,19110021,135,54,19,1,1,1,0,Business
454,19110022,135,64,26,1,0,0,0,Engineering
455,19110029,135,57,15,1,0,1,0,Business
456,19110094,135,56,18,0,1,1,0,Engineering
457,19110110,135,56,22,1,1,1,1,Data
458,19110142,135,53,21,1,0,1,0,Business
459,19110184,135,57,22,1,1,1,1,Engineering
460,19110190,135,63,21,0,1,1,0,Engineering
461,19110248,135,62,21,1,1,1,0,Engineering
462,19110268,135,50,21,1,1,1,1,Engineering
463,19110271,135,55,17,1,1,1,1,Data
464,19110273,135,57,18,1,1,1,1,Data
465,19110285,135,52,18,1,1,1,1,Data
466,19110286,135,58,24,1,1,1,1,Business
467,19110290,135,53,22,1,1,1,1,Engineering
468,19110293,135,60,24,0,1,1,0,Engineering
469,19080008,96,54,22,1,1,0,0,Business
470,19080025,96,61,19,1,0,0,0,Data
471,19080032,96,53,17,1,1,1,1,Data
472,19080047,96,55,20,1,0,1,0,Data
473,19080051,96,54,24,1,1,1,1,Business
474,19080060,96,56,23,1,1,1,1,Engineering
475,19080079,96,51,21,1,1,0,0,Engineering
476,19080092,96,57,24,1,1,1,1,Engineering
477,19080099,96,53,25,1,1,1,1,Engineering
478,19080107,96,62,24,1,1,1,0,Engineering
479,19080108,96,51,22,1,1,1,1,Business
480,19080121,96,53,21,1,1,0,0,Engineering
481,19080140,96,56,16,1,1,1,0,Business
482,19080145,96,60,20,1,1,0,0,Engineering
483,19080173,96,56,24,1,1,1,0,Engineering
484,19080197,96,56,23,1,1,1,0,Business
485,19080199,96,55,19,1,1,1,1,Business
486,19080235,96,54,16,1,1,1,0,Business
487,19080263,96,55,28,1,1,0,0,Business
488,19080354,96,53,15,1,1,1,1,Data
489,19080377,96,59,20,1,1,1,1,Data
490,19080395,96,52,21,1,1,1,1,Business
491,19080404,96,51,20,0,1,1,0,Business
492,19080445,96,51,21,1,1,1,0,Business
493,19080448,96,58,20,1,1,1,1,Data
494,19080451,96,55,16,1,1,0,0,Business
495,19020015,19,60,18,1,1,1,1,Business
496,19020033,19,62,17,1,1,1,1,Engineering
497,19020054,19,59,24,1,1,1,1,Business
498,19020061,19,54,19,1,0,1,0,Data
499,19020073,19,69,22,1,1,1,1,Data
500,19020077,19,60,20,1,1,1,1,Data
501,19020094,19,62,17,1,1,1,1,Data
502,19020112,19,55,20,1,1,1,0,Business
503,19020118,19,64,16,1,1,1,1,Business
504,19020126,19,65,24,1,1,1,1,Business
505,19020157,19,60,24,1,1,1,1,Data
506,19020180,19,52,20,1,1,1,1,Data
507,19020195,19,61,15,1,0,1,0,Data
508,19020197,19,51,23,0,1,1,0,Engineering
509,19020214,19,54,25,1,1,1,1,Engineering
510,19020228,19,64,21,0,0,1,0,Business
511,19020234,19,60,15,1,0,1,0,Business
512,19020299,19,52,17,1,1,1,1,Engineering
513,19020307,19,56,20,1,1,1,1,Business
514,19020311,19,53,23,1,1,1,1,Data
515,19020321,19,62,18,1,1,1,1,Engineering
516,19020355,19,53,22,1,1,1,0,Engineering
517,19030054,31,55,18,1,1,1,0,Engineering
518,19030115,31,63,26,1,1,0,0,Business
519,19030159,31,51,22,1,1,1,1,Engineering
520,19030178,31,50,24,1,1,1,1,Engineering
521,19030216,31,57,18,1,0,1,0,Data
522,19030288,31,51,24,1,1,1,0,Business
523,19030295,31,51,19,1,1,1,1,Engineering
524,19030300,31,57,19,1,1,1,0,Data
525,19050021,56,60,28,1,1,1,1,Data
526,19050037,56,55,20,1,1,1,0,Data
527,19050070,56,63,17,0,1,1,0,Engineering
528,19050086,56,52,22,1,1,1,0,Data
529,19050151,56,62,17,1,1,1,1,Engineering
530,19050181,56,68,17,1,1,1,1,Data
531,19050184,56,56,19,1,1,0,0,Business
532,19050188,56,64,24,1,1,1,1,Data
533,19050199,56,54,19,1,1,1,0,Engineering
534,19050227,56,67,21,1,1,0,0,Data
535,19050237,56,52,19,1,1,0,0,Business
536,19050239,56,51,24,1,1,1,1,Engineering
537,19050245,56,53,23,0,1,1,0,Business
538,19050276,56,58,26,1,1,1,1,Engineering
539,19050287,56,62,22,1,1,1,0,Data
540,19050299,56,59,19,1,1,1,1,Engineering
541,19050331,56,64,22,1,1,1,1,Business
542,19050365,56,50,23,0,1,1,0,Data
543,19050368,56,63,21,1,1,1,1,Engineering
544,19050372,56,70,23,1,0,1,0,Data
545,19050376,56,50,24,1,1,1,1,Business
546,19050389,56,56,20,1,1,1,1,Data
547,19110007,136,61,23,1,1,1,1,Data
548,19110010,136,54,17,1,1,0,0,Engineering
549,19110017,136,53,18,1,1,1,1,Engineering
550,19110024,136,51,25,1,1,1,1,Data
551,19110072,136,55,24,1,1,1,1,Business
552,19110080,136,53,23,1,1,1,1,Data
553,19110093,136,55,18,1,1,1,1,Data
554,19110101,136,60,26,1,1,1,0,Business
555,19110112,136,52,16,1,1,0,0,Data
556,19110127,136,58,20,1,1,1,1,Business
557,19110182,136,65,17,1,1,1,1,Data
558,19110204,136,59,19,1,1,0,0,Data
559,19110217,136,58,20,1,1,1,0,Engineering
560,19110255,136,51,20,1,1,1,1,Business
561,19110272,136,61,16,1,1,1,1,Data
562,19110272,136,61,16,1,1,1,1,Data
563,19110298,136,59,21,1,1,1,1,Data
564,19110313,136,65,22,1,1,1,1,Business
565,19080017,97,62,23,1,1,1,1,Data
566,19080039,97,58,19,1,1,1,1,Engineering
567,19080041,97,54,19,1,1,1,1,Engineering
568,19080050,97,62,17,1,1,1,1,Engineering
569,19080053,97,63,16,1,1,1,1,Business
570,19080058,97,56,23,0,1,1,0,Engineering
571,19080061,97,57,22,0,1,1,0,Engineering
572,19080065,97,60,20,1,1,1,1,Business
573,19080077,97,66,17,1,1,1,1,Data
574,19080080,97,69,24,1,1,1,1,Data
575,19080090,97,55,22,1,1,1,0,Engineering
576,19080097,97,59,23,1,1,1,1,Business
577,19080106,97,57,20,1,1,1,0,Business
578,19080115,97,50,16,1,1,1,1,Data
579,19080153,97,51,22,1,1,1,1,Data
580,19080159,97,53,20,1,1,1,0,Business
581,19080174,97,60,19,1,1,1,1,Engineering
582,19080209,97,52,27,1,1,1,1,Engineering
583,19080221,97,64,16,1,1,1,1,Engineering
584,19080234,97,58,16,1,1,1,1,Engineering
585,19080296,97,50,19,0,1,1,0,Engineering
586,19080296,97,50,19,0,1,1,0,Engineering
587,19080300,97,59,25,1,0,1,0,Business
