,applicant_id,language_name,scores
61,19080089,4,1
61,19080089,7,2
61,19080089,3,3
62,19080090,7,5
62,19080090,5,4
63,19080092,0,1
63,19080092,8,2
63,19080092,5,1
64,19080093,1,7
64,19080093,6,2
64,19080093,2,2
65,19080095,0,1
66,19080096,1,1
66,19080096,7,1
66,19080096,3,4
67,19080097,0,2
67,19080097,7,4
67,19080097,3,3
68,19080098,7,2
68,19080098,8,5
68,19080098,5,8
69,19080099,4,6
69,19080099,1,3
70,19080101,0,2
70,19080101,6,2
70,19080101,8,1
71,19080102,7,3
71,19080102,8,2
72,19080104,6,1
72,19080104,2,1
72,19080104,7,1
72,19080104,3,3
73,19080106,1,2
73,19080106,2,5
73,19080106,5,2
73,19080106,3,3
74,19080107,7,3
74,19080107,8,1
74,19080107,5,1
75,19080108,4,4
75,19080108,6,2
75,19080108,7,3
75,19080108,5,6
76,19080109,4,7
76,19080109,6,7
76,19080109,5,2
76,19080109,3,1
77,19080110,4,2
77,19080110,0,1
77,19080110,2,5
77,19080110,7,1
78,19080111,0,2
78,19080111,1,3
78,19080111,6,7
78,19080111,2,1
79,19080112,8,3
80,19080114,0,5
80,19080114,6,4
80,19080114,2,5
80,19080114,7,7
80,19080114,8,1
81,19080115,4,1
81,19080115,1,3
81,19080115,5,1
82,19080116,4,7
82,19080116,0,1
82,19080116,2,2
82,19080116,7,3
82,19080116,5,6
83,19080117,1,2
83,19080117,2,3
83,19080117,8,1
83,19080117,3,6
84,19080120,4,3
84,19080120,0,3
84,19080120,6,4
84,19080120,5,1
85,19080121,1,4
86,19080123,0,1
87,19080124,0,3
87,19080124,2,1
87,19080124,3,3
88,19080125,4,4
88,19080125,1,6
88,19080125,6,2
88,19080125,7,3
88,19080125,8,4
89,19080126,7,4
89,19080126,5,6
90,19080128,4,4
90,19080128,1,2
90,19080128,6,5
90,19080128,5,6
90,19080128,3,2
91,19080129,4,4
91,19080129,0,1
91,19080129,2,3
92,19080130,0,4
92,19080130,2,2
92,19080130,3,2
93,19080131,1,3
93,19080131,5,3
93,19080131,3,2
94,19080132,1,3
94,19080132,6,2
94,19080132,2,2
94,19080132,7,4
94,19080132,8,7
94,19080132,5,1
95,19080134,1,6
95,19080134,2,4
95,19080134,5,3
95,19080134,3,3
96,19080136,0,2
96,19080136,6,4
96,19080136,7,3
96,19080136,5,1
96,19080136,3,5
97,19080138,0,1
97,19080138,6,2
97,19080138,2,6
97,19080138,8,1
97,19080138,5,5
97,19080138,3,3
98,19080139,4,6
98,19080139,7,3
99,19080140,4,2
99,19080140,6,4
100,19080141,4,1
100,19080141,1,1
100,19080141,7,2
100,19080141,5,4
100,19080141,3,1
101,19080142,0,1
101,19080142,6,5
101,19080142,7,2
101,19080142,8,1
101,19080142,3,2
102,19080143,5,6
103,19080144,7,3
103,19080144,8,2
104,19080145,4,2
104,19080145,0,2
104,19080145,1,3
104,19080145,7,2
104,19080145,3,3
105,19080148,0,2
105,19080148,1,2
105,19080148,8,2
105,19080148,3,4
106,19080149,4,2
106,19080149,0,3
106,19080149,7,6
107,19080151,6,3
107,19080151,8,2
108,19080152,0,3
108,19080152,1,4
108,19080152,2,4
109,19080153,6,6
109,19080153,2,3
109,19080153,7,4
110,19080154,0,1
110,19080154,1,2
110,19080154,2,2
111,19080156,4,1
111,19080156,0,4
112,19080158,6,3
112,19080158,3,1
113,19080159,4,3
113,19080159,0,3
113,19080159,6,2
113,19080159,2,7
113,19080159,7,1
113,19080159,8,2
113,19080159,3,1
114,19080162,4,4
114,19080162,6,3
114,19080162,2,1
115,19080165,1,4
115,19080165,2,3
115,19080165,7,3
115,19080165,8,3
116,19080167,4,7
116,19080167,2,1
117,19080168,1,1
117,19080168,2,1
118,19080169,3,1
119,19080170,1,3
119,19080170,6,4
119,19080170,8,1
119,19080170,3,4
120,19080171,0,1
120,19080171,6,3
120,19080171,3,3
121,19080173,0,1
121,19080173,6,2
121,19080173,2,4
121,19080173,7,4
121,19080173,8,1
121,19080173,5,3
122,19080174,1,1
122,19080174,7,3
122,19080174,3,1
123,19080175,1,7
123,19080175,2,5
123,19080175,7,7
123,19080175,8,1
123,19080175,5,4
124,19080179,4,6
124,19080179,1,3
124,19080179,5,3
125,19080180,1,1
125,19080180,5,4
126,19080181,6,4
126,19080181,2,6
126,19080181,7,6
127,19080182,1,3
127,19080182,2,3
127,19080182,8,1
128,19080184,4,4
128,19080184,0,5
128,19080184,1,5
128,19080184,6,4
128,19080184,7,3
128,19080184,5,2
129,19080187,4,2
129,19080187,0,5
129,19080187,3,5
130,19080191,4,1
130,19080191,0,2
130,19080191,6,4
130,19080191,2,1
131,19080192,4,5
131,19080192,0,2
131,19080192,1,2
131,19080192,5,1
132,19080193,1,1
132,19080193,7,1
132,19080193,5,1
133,19080194,2,4
133,19080194,5,2
134,19080195,1,2
134,19080195,5,4
134,19080195,3,3
135,19080196,1,3
135,19080196,6,3
135,19080196,5,1
136,19080197,0,5
136,19080197,6,1
136,19080197,2,2
136,19080197,5,2
137,19080198,1,2
137,19080198,2,2
138,19080199,4,1
138,19080199,6,1
139,19080200,1,2
139,19080200,2,1
139,19080200,7,2
139,19080200,8,1
140,19080201,1,3
140,19080201,2,4
140,19080201,7,5
140,19080201,8,3
140,19080201,5,1
141,19080202,0,4
141,19080202,6,2
141,19080202,2,1
141,19080202,7,3
141,19080202,8,2
141,19080202,3,3
142,19080203,0,2
142,19080203,1,1
142,19080203,2,1
143,19080206,1,1
143,19080206,8,2
144,19080207,4,1
144,19080207,2,1
144,19080207,3,4
145,19080209,5,5
146,19080210,0,2
146,19080210,7,5
146,19080210,8,3
146,19080210,5,8
147,19080211,4,1
147,19080211,0,5
147,19080211,1,1
147,19080211,5,2
148,19080212,6,2
148,19080212,8,3
148,19080212,5,4
148,19080212,3,4
149,19080213,6,7
149,19080213,2,5
149,19080213,7,4
149,19080213,3,3
150,19080214,1,1
150,19080214,3,2
151,19080215,4,1
151,19080215,0,2
151,19080215,3,4
152,19080216,4,5
152,19080216,2,5
153,19080217,4,6
153,19080217,1,2
154,19080217,4,6
154,19080217,1,2
155,19080218,1,1
155,19080218,2,2
155,19080218,7,7
155,19080218,8,2
156,19080220,7,7
156,19080220,5,2
156,19080220,3,5
157,19080221,7,3
157,19080221,5,1
158,19080222,4,5
159,19080223,4,1
159,19080223,1,3
159,19080223,6,2
159,19080223,2,2
159,19080223,7,5
160,19080224,4,5
160,19080224,0,2
160,19080224,7,2
161,19080225,4,2
161,19080225,0,1
161,19080225,6,2
161,19080225,7,5
161,19080225,3,2
162,19080226,1,5
162,19080226,6,2
162,19080226,7,4
162,19080226,8,1
163,19080227,4,1
163,19080227,1,2
163,19080227,2,7
163,19080227,7,2
164,19080228,3,2
165,19080229,4,3
165,19080229,8,1
166,19080231,1,5
166,19080231,7,1
167,19080233,4,3
168,19080234,2,3
168,19080234,8,4
169,19080235,1,7
169,19080235,6,3
169,19080235,8,4
169,19080235,5,3
170,19080236,4,5
170,19080236,2,1
170,19080236,7,2
170,19080236,8,1
170,19080236,5,3
170,19080236,3,2
171,19080238,0,2
171,19080238,2,3
172,19080242,0,5
172,19080242,1,4
172,19080242,6,3
172,19080242,5,3
172,19080242,3,2
173,19080244,4,6
173,19080244,5,3
174,19080245,2,1
175,19080246,0,1
175,19080246,6,2
175,19080246,7,2
175,19080246,5,2
175,19080246,3,1
176,19080247,4,3
176,19080247,7,3
177,19080248,4,2
177,19080248,1,1
177,19080248,6,3
177,19080248,2,8
177,19080248,7,3
177,19080248,3,1
178,19080249,0,2
178,19080249,7,2
179,19080250,3,4
180,19080251,0,4
180,19080251,3,5
181,19080252,0,5
181,19080252,1,2
181,19080252,2,1
181,19080252,8,4
181,19080252,5,4
181,19080252,3,1
182,19080253,1,5
183,19080254,0,4
183,19080254,6,5
183,19080254,7,1
183,19080254,5,1
184,19080255,0,3
185,19080256,0,2
185,19080256,1,3
185,19080256,6,3
185,19080256,2,5
185,19080256,5,3
186,19080257,1,5
186,19080257,8,2
186,19080257,3,1
187,19080258,4,6
187,19080258,6,1
187,19080258,2,7
187,19080258,5,4
187,19080258,3,1
188,19080259,4,4
188,19080259,0,4
188,19080259,8,3
188,19080259,3,3
189,19080260,1,5
189,19080260,7,5
190,19080261,4,1
190,19080261,0,1
190,19080261,1,4
190,19080261,8,1
191,19080263,0,2
191,19080263,2,5
191,19080263,3,5
192,19080264,4,2
192,19080264,1,1
192,19080264,6,2
192,19080264,2,2
192,19080264,5,3
192,19080264,3,2
193,19080266,0,1
193,19080266,7,1
193,19080266,5,4
193,19080266,3,3
194,19080267,1,1
194,19080267,8,3
195,19080270,4,4
195,19080270,1,5
195,19080270,7,3
196,19080272,0,1
196,19080272,6,3
196,19080272,2,2
196,19080272,7,2
196,19080272,8,2
196,19080272,5,3
197,19080276,1,1
197,19080276,5,3
197,19080276,3,1
198,19080277,1,2
198,19080277,7,1
199,19080278,4,4
199,19080278,0,1
199,19080278,1,2
199,19080278,6,1
199,19080278,7,6
199,19080278,3,3
200,19080279,0,1
200,19080279,1,3
200,19080279,2,1
200,19080279,8,2
200,19080279,5,4
201,19080281,4,4
201,19080281,0,2
201,19080281,8,3
202,19080283,4,3
202,19080283,0,5
202,19080283,1,5
202,19080283,5,4
203,19080287,1,6
203,19080287,3,4
204,19080289,4,1
204,19080289,1,3
204,19080289,7,3
205,19080291,4,3
205,19080291,0,4
205,19080291,1,2
205,19080291,6,2
205,19080291,2,2
205,19080291,3,3
206,19080292,0,2
206,19080292,6,4
206,19080292,3,4
207,19080293,0,1
207,19080293,1,1
207,19080293,3,3
208,19080294,4,6
208,19080294,0,1
208,19080294,1,1
208,19080294,3,6
209,19080295,4,2
209,19080295,2,1
209,19080295,7,4
209,19080295,8,3
210,19080296,1,4
210,19080296,6,1
210,19080296,2,2
211,19080296,1,4
211,19080296,6,1
211,19080296,2,2
212,19080297,2,3
212,19080297,8,1
212,19080297,3,1
213,19080299,1,1
214,19080300,4,1
214,19080300,6,3
214,19080300,2,4
214,19080300,3,4
215,19080301,7,4
215,19080301,5,3
216,19080302,4,1
216,19080302,0,4
216,19080302,7,2
216,19080302,8,1
216,19080302,5,2
217,19080303,2,1
217,19080303,5,1
218,19080306,6,7
218,19080306,7,1
218,19080306,5,4
218,19080306,3,2
219,19080307,4,5
219,19080307,8,4
220,19080310,4,5
220,19080310,2,2
220,19080310,3,6
221,19080312,1,4
221,19080312,7,3
221,19080312,3,7
222,19080313,0,2
222,19080313,1,5
222,19080313,2,3
222,19080313,8,1
222,19080313,3,5
223,19080318,7,2
224,19080319,2,2
225,19080320,0,2
225,19080320,1,4
225,19080320,6,4
225,19080320,8,1
225,19080320,3,1
226,19080323,1,2
226,19080323,6,3
226,19080323,2,2
226,19080323,7,1
226,19080323,8,1
227,19080324,8,1
228,19080327,7,1
228,19080327,5,2
229,19080328,3,4
230,19080332,0,5
230,19080332,1,1
230,19080332,2,1
230,19080332,5,1
231,19080333,8,1
231,19080333,5,3
231,19080333,3,6
232,19080334,7,2
233,19080338,0,3
233,19080338,6,3
233,19080338,8,3
234,19080339,4,2
234,19080339,0,1
234,19080339,1,1
234,19080339,6,5
234,19080339,2,2
234,19080339,7,4
234,19080339,5,1
235,19080340,0,6
235,19080340,5,2
236,19080341,4,3
236,19080341,3,7
237,19080342,0,3
237,19080342,1,2
237,19080342,7,2
237,19080342,5,2
237,19080342,3,5
238,19080345,4,1
238,19080345,1,1
239,19080347,6,1
239,19080347,5,5
240,19080349,4,2
240,19080349,5,4
241,19080350,4,3
241,19080350,6,1
242,19080351,0,2
242,19080351,2,6
242,19080351,7,2
242,19080351,5,6
242,19080351,3,3
243,19080352,4,4
243,19080352,0,4
243,19080352,1,4
243,19080352,6,5
243,19080352,8,2
243,19080352,3,3
244,19080354,4,3
244,19080354,1,5
244,19080354,6,3
244,19080354,8,2
244,19080354,3,7
245,19080355,0,4
245,19080355,2,4
245,19080355,8,1
245,19080355,3,5
246,19080356,0,6
246,19080356,1,7
246,19080356,2,6
246,19080356,7,6
246,19080356,3,1
247,19080358,4,5
247,19080358,6,2
247,19080358,7,2
247,19080358,5,4
248,19080360,4,3
248,19080360,6,6
248,19080360,5,1
248,19080360,3,3
249,19080361,7,1
249,19080361,8,1
250,19080363,6,6
250,19080363,7,3
250,19080363,5,6
251,19080364,4,2
251,19080364,0,3
251,19080364,6,5
251,19080364,5,4
252,19080365,5,3
252,19080365,3,2
253,19080368,,0
254,19080369,1,1
254,19080369,8,2
255,19080370,4,1
255,19080370,0,6
255,19080370,7,5
256,19080371,4,2
256,19080371,6,3
257,19080373,0,1
257,19080373,6,4
258,19080376,0,4
258,19080376,7,3
258,19080376,8,2
258,19080376,5,1
259,19080377,0,3
259,19080377,1,1
259,19080377,2,2
259,19080377,7,1
259,19080377,5,2
260,19080378,4,2
260,19080378,0,3
260,19080378,8,2
260,19080378,5,3
261,19080380,4,1
261,19080380,1,2
261,19080380,5,4
262,19080381,4,1
262,19080381,2,1
262,19080381,5,5
262,19080381,3,4
263,19080382,0,7
263,19080382,2,4
263,19080382,7,1
264,19080383,0,5
264,19080383,1,1
264,19080383,6,5
264,19080383,2,2
264,19080383,7,1
264,19080383,5,4
264,19080383,3,7
265,19080384,4,1
265,19080384,0,1
265,19080384,2,3
265,19080384,7,1
265,19080384,8,2
265,19080384,5,2
266,19080386,4,3
266,19080386,0,2
266,19080386,1,3
267,19080391,4,3
267,19080391,6,2
267,19080391,8,3
268,19080392,4,3
268,19080392,6,5
268,19080392,2,5
269,19080393,4,2
269,19080393,0,1
269,19080393,1,4
270,19080394,0,1
270,19080394,8,4
270,19080394,3,5
271,19080395,4,5
271,19080395,0,1
271,19080395,1,4
271,19080395,6,2
271,19080395,7,3
271,19080395,5,5
271,19080395,3,2
272,19080397,0,3
272,19080397,8,1
272,19080397,5,5
272,19080397,3,2
273,19080398,2,1
273,19080398,8,1
274,19080401,4,4
275,19080402,4,4
275,19080402,1,2
275,19080402,6,2
275,19080402,7,2
275,19080402,5,2
276,19080403,4,3
276,19080403,0,3
276,19080403,6,4
276,19080403,2,3
276,19080403,7,4
276,19080403,5,4
277,19080404,0,5
277,19080404,7,2
278,19080407,6,2
278,19080407,2,4
278,19080407,8,3
278,19080407,5,6
279,19080408,4,6
279,19080408,0,3
279,19080408,6,3
279,19080408,2,5
280,19080411,0,4
280,19080411,2,6
280,19080411,8,2
280,19080411,3,7
281,19080416,4,1
281,19080416,0,2
282,19080418,0,6
283,19080419,1,2
283,19080419,2,6
284,19080420,4,2
284,19080420,0,6
284,19080420,1,7
284,19080420,6,4
284,19080420,7,3
284,19080420,8,4
285,19080422,6,1
285,19080422,3,3
286,19080423,0,4
286,19080423,1,3
286,19080423,6,1
286,19080423,2,2
286,19080423,7,4
287,19080424,4,2
287,19080424,2,2
288,19080425,1,4
288,19080425,5,1
288,19080425,3,7
289,19080428,4,1
289,19080428,1,1
289,19080428,5,3
290,19080429,1,2
290,19080429,6,1
290,19080429,8,2
290,19080429,5,3
291,19080430,0,3
291,19080430,1,3
292,19080432,4,2
292,19080432,1,4
292,19080432,8,1
293,19080435,4,1
293,19080435,0,1
293,19080435,1,1
293,19080435,2,2
294,19080438,1,1
295,19080439,6,3
295,19080439,5,1
295,19080439,3,2
296,19080441,0,2
296,19080441,1,8
296,19080441,7,1
297,19080442,4,4
297,19080442,1,1
297,19080442,6,5
297,19080442,2,1
297,19080442,7,2
297,19080442,8,3
297,19080442,5,2
298,19080443,1,2
298,19080443,6,1
298,19080443,2,2
298,19080443,7,1
298,19080443,8,5
298,19080443,5,1
299,19080444,4,1
299,19080444,6,1
299,19080444,7,3
299,19080444,5,4
300,19080445,1,2
300,19080445,7,3
300,19080445,8,1
301,19080448,4,4
302,19080450,0,3
302,19080450,1,5
302,19080450,6,1
302,19080450,2,3
302,19080450,5,5
302,19080450,3,3
303,19080451,1,1
303,19080451,6,3
303,19080451,2,4
303,19080451,5,4
304,19070002,0,2
305,19070003,1,1
305,19070003,5,4
306,19070004,4,3
306,19070004,6,1
306,19070004,8,3
306,19070004,5,5
307,19070005,8,6
308,19070006,1,2
308,19070006,8,1
308,19070006,5,7
309,19070007,4,2
309,19070007,1,9
309,19070007,2,2
309,19070007,8,5
310,19070008,4,5
310,19070008,6,2
310,19070008,2,3
310,19070008,5,4
311,19070011,4,2
311,19070011,0,1
311,19070011,1,4
311,19070011,8,1
312,19070012,4,1
312,19070012,2,2
312,19070012,8,4
313,19070013,4,1
313,19070013,1,3
313,19070013,2,4
314,19070014,4,2
314,19070014,0,2
314,19070014,6,1
314,19070014,5,5
314,19070014,3,4
315,19070015,0,2
315,19070015,1,1
315,19070015,6,2
315,19070015,2,3
315,19070015,7,1
315,19070015,3,1
316,19070016,4,4
316,19070016,1,2
316,19070016,6,5
317,19070017,6,5
317,19070017,2,2
318,19070018,0,1
318,19070018,2,5
318,19070018,8,1
319,19070021,7,1
319,19070021,5,2
320,19070022,6,2
320,19070022,5,8
320,19070022,3,2
321,19070024,6,6
321,19070024,8,1
321,19070024,3,3
322,19070026,8,2
323,19070027,8,4
323,19070027,5,6
324,19070029,1,2
325,19070030,4,2
325,19070030,1,1
325,19070030,2,3
325,19070030,8,1
326,19070031,4,4
326,19070031,0,1
326,19070031,1,2
326,19070031,5,9
326,19070031,3,1
327,19070032,4,5
327,19070032,6,3
327,19070032,7,4
328,19070033,4,1
328,19070033,6,1
328,19070033,2,1
328,19070033,8,1
328,19070033,5,2
329,19070034,6,2
329,19070034,2,2
329,19070034,7,5
329,19070034,8,1
330,19070035,1,1
330,19070035,7,2
330,19070035,8,1
330,19070035,3,1
331,19070036,1,2
331,19070036,7,1
332,19070039,4,2
332,19070039,1,4
332,19070039,6,1
332,19070039,7,3
332,19070039,5,3
333,19070040,0,5
333,19070040,2,2
334,19070042,0,2
334,19070042,2,3
335,19070046,0,4
335,19070046,2,3
335,19070046,5,2
336,19070048,2,2
336,19070048,7,3
336,19070048,3,10
337,19070050,6,4
337,19070050,2,6
337,19070050,3,1
338,19070051,0,5
338,19070051,1,2
338,19070051,2,3
338,19070051,8,2
338,19070051,5,2
338,19070051,3,3
339,19070052,0,6
339,19070052,6,2
339,19070052,2,3
339,19070052,7,1
340,19070053,1,3
340,19070053,6,1
341,19070054,6,3
342,19070055,4,5
342,19070055,0,5
342,19070055,1,4
342,19070055,2,3
343,19070056,4,4
343,19070056,1,1
343,19070056,6,3
343,19070056,8,2
343,19070056,5,3
343,19070056,3,1
344,19070057,0,4
344,19070057,1,1
344,19070057,7,1
345,19070058,4,3
345,19070058,0,1
345,19070058,1,5
345,19070058,3,3
346,19070059,4,5
346,19070059,1,4
346,19070059,6,4
346,19070059,7,1
346,19070059,8,2
346,19070059,5,2
347,19070061,4,2
347,19070061,1,1
347,19070061,6,1
347,19070061,8,1
348,19070062,4,6
348,19070062,2,5
348,19070062,5,2
349,19070065,1,3
349,19070065,7,5
349,19070065,3,8
350,19070066,4,5
350,19070066,2,3
350,19070066,8,1
350,19070066,3,1
351,19070067,1,1
351,19070067,6,1
351,19070067,8,2
351,19070067,5,3
352,19070068,0,5
352,19070068,1,1
353,19070070,4,7
353,19070070,1,2
353,19070070,6,2
354,19070070,4,7
354,19070070,1,2
354,19070070,6,2
355,19070071,0,3
355,19070071,7,3
356,19070072,4,2
356,19070072,0,2
356,19070072,6,5
356,19070072,8,2
357,19070074,1,2
358,19070075,0,3
358,19070075,6,3
358,19070075,3,3
359,19070076,7,5
359,19070076,8,2
360,19070079,7,3
360,19070079,5,5
361,19070081,4,2
361,19070081,1,3
361,19070081,2,2
361,19070081,8,2
362,19070083,1,6
362,19070083,2,5
362,19070083,8,3
363,19070084,4,3
363,19070084,1,2
363,19070084,5,4
364,19070085,4,5
364,19070085,7,2
364,19070085,8,1
364,19070085,5,2
364,19070085,3,1
365,19070086,0,1
365,19070086,3,1
366,19070087,0,4
366,19070087,2,3
366,19070087,7,1
366,19070087,3,2
367,19070089,4,2
367,19070089,1,3
368,19070091,5,4
369,19070092,2,1
369,19070092,7,1
370,19070093,,0
371,19070094,6,8
371,19070094,2,3
371,19070094,7,1
371,19070094,8,1
371,19070094,3,3
372,19070096,6,2
372,19070096,7,1
373,19070097,0,5
373,19070097,1,4
373,19070097,8,1
373,19070097,5,5
373,19070097,3,3
374,19070100,1,2
374,19070100,8,6
374,19070100,5,1
375,19070103,4,3
375,19070103,1,3
375,19070103,6,4
375,19070103,7,2
375,19070103,8,2
375,19070103,5,1
376,19070104,1,3
376,19070104,6,2
376,19070104,2,7
376,19070104,7,2
376,19070104,8,1
376,19070104,5,2
377,19070105,4,2
377,19070105,2,5
377,19070105,8,5
377,19070105,5,4
377,19070105,3,1
378,19070106,0,4
378,19070106,6,3
379,19070108,7,4
379,19070108,3,3
380,19070110,2,9
380,19070110,7,4
380,19070110,5,3
380,19070110,3,5
381,19070112,0,3
381,19070112,1,4
381,19070112,6,5
381,19070112,2,6
381,19070112,7,2
381,19070112,5,3
382,19070113,4,4
382,19070113,0,9
382,19070113,6,1
382,19070113,2,2
383,19070114,4,2
383,19070114,0,2
383,19070114,6,8
384,19070115,6,1
384,19070115,2,2
384,19070115,8,2
385,19070116,7,1
385,19070116,8,1
386,19070117,7,3
386,19070117,5,1
387,19070118,4,2
387,19070118,7,3
387,19070118,8,4
387,19070118,3,6
388,19070120,1,2
388,19070120,2,3
388,19070120,7,3
388,19070120,5,2
389,19070121,0,3
390,19070122,4,6
390,19070122,0,1
390,19070122,2,4
391,19070123,4,5
391,19070123,1,2
391,19070123,6,7
391,19070123,5,1
392,19070124,0,1
392,19070124,7,2
393,19070125,4,4
393,19070125,0,3
393,19070125,1,4
393,19070125,3,4
394,19070126,0,1
395,19070128,0,2
395,19070128,6,3
396,19070136,4,2
396,19070136,5,5
396,19070136,3,4
397,19070138,1,3
397,19070138,8,2
398,19070139,0,3
398,19070139,6,6
398,19070139,5,6
398,19070139,3,1
399,19070140,6,2
399,19070140,2,4
399,19070140,7,2
399,19070140,8,1
399,19070140,5,5
400,19070144,4,1
400,19070144,0,2
400,19070144,7,3
401,19070145,4,1
401,19070145,2,2
401,19070145,7,1
401,19070145,8,3
401,19070145,3,7
402,19070146,4,1
402,19070146,2,3
402,19070146,3,1
403,19070147,2,1
403,19070147,5,1
404,19070148,4,5
404,19070148,6,1
404,19070148,7,2
405,19070150,1,3
406,19070153,6,5
406,19070153,7,2
407,19070154,4,4
407,19070154,7,2
407,19070154,3,4
408,19070155,6,3
408,19070155,2,1
408,19070155,8,2
409,19070156,1,5
409,19070156,2,4
409,19070156,7,4
409,19070156,8,3
409,19070156,3,2
410,19070158,0,5
410,19070158,6,1
410,19070158,8,4
411,19070159,3,1
412,19070161,0,6
412,19070161,6,4
412,19070161,3,3
413,19070164,0,1
413,19070164,1,3
413,19070164,8,4
413,19070164,3,2
414,19070165,2,6
414,19070165,7,2
414,19070165,5,2
414,19070165,3,3
415,19070166,4,3
415,19070166,2,2
415,19070166,7,3
416,19070167,4,2
416,19070167,0,1
416,19070167,6,4
416,19070167,2,3
416,19070167,5,1
416,19070167,3,1
417,19070168,8,1
418,19070169,4,5
418,19070169,1,1
419,19070170,4,2
419,19070170,0,3
419,19070170,1,2
419,19070170,6,1
420,19070171,2,2
420,19070171,8,3
420,19070171,5,4
421,19070174,4,1
421,19070174,6,1
421,19070174,2,1
422,19070175,4,5
422,19070175,2,2
422,19070175,5,4
422,19070175,3,4
423,19070176,4,2
423,19070176,0,6
424,19070178,4,5
424,19070178,0,4
424,19070178,7,2
424,19070178,5,1
425,19070179,4,4
425,19070179,0,5
426,19070180,4,2
426,19070180,8,1
426,19070180,3,3
427,19070182,,0
428,19070184,4,2
428,19070184,1,5
428,19070184,8,1
428,19070184,3,1
429,19070185,7,5
429,19070185,5,7
429,19070185,3,3
430,19070186,0,3
430,19070186,8,1
431,19070187,4,4
431,19070187,0,3
431,19070187,1,5
431,19070187,8,1
431,19070187,5,2
432,19070188,4,3
432,19070188,6,5
432,19070188,5,2
433,19070191,4,3
433,19070191,1,9
433,19070191,6,5
434,19070192,4,1
434,19070192,1,4
